Month,Power/kWh,Runtime/Hrs,Avg. PLR,Chiller running COP,COP after VFD retrofit,VFD retrofit saving/kWh,VFD retrofit saving %,Avg. percent line current,chiller efficiency_after,chiller efficiency_before
2022/1,3738,34,,4.5,8.2,1685,45.1%,44%,0.4289024390243903,0.7815555555555556
2022/2,19120,183,,4.2,8.4,9579,50.1%,41%,0.41869047619047617,0.8373809523809523
2022/3,21122,200,,4.4,8.3,10056,47.6%,42%,0.4237349397590361,0.7993181818181817
2022/4,33961,306,,4.5,8.1,14956,44.0%,44%,0.43419753086419755,0.7815555555555556
2022/5,50821,379,,5.2,7.4,15042,29.6%,53%,0.47527027027027025,0.6763461538461538
2022/6,45282,310,,5.3,7.2,11615,25.7%,58%,0.4884722222222222,0.6635849056603773
2022/7,38400,262,,5.3,6.9,8989,23.4%,58%,0.5097101449275362,0.6635849056603773
2022/8,39714,274,,5.3,6.9,9483,23.9%,57%,0.5097101449275362,0.6635849056603773
2022/9,46463,350,,5.1,7.3,13645,29.4%,52%,0.48178082191780824,0.689607843137255
2022/10,39591,366,,4.4,8.2,18236,46.1%,43%,0.4289024390243903,0.7993181818181817
2022/11,19565,176,,4.5,8.2,8830,45.1%,44%,0.4289024390243903,0.7815555555555556
2022/12,21412,202,,4.2,8.3,10457,48.8%,42%,0.4237349397590361,0.8373809523809523
2023/2,9449,92,,4.1,8.4,4791,50.7%,41%,0.41869047619047617,0.8578048780487806
2023/3,25245,208,,4.9,8.3,10208,40.4%,49%,0.4237349397590361,0.7177551020408163
2023/4,39749,308,,5.0,7.4,12942,32.6%,52%,0.47527027027027025,0.7034
2023/5,39713,286,,5.1,7.1,10837,27.3%,55%,0.49535211267605633,0.689607843137255
2023/6,20586,128,,5.0,6.1,3907,19.0%,65%,0.5765573770491803,0.7034
2023/7,22638,128,,4.9,5.8,3582,15.8%,71%,0.6063793103448276,0.7177551020408163
2023/8,27301,146,,4.8,5.7,4659,17.1%,75%,0.6170175438596491,0.7327083333333333
2023/9,9934,58,,4.8,6.0,1961,19.7%,68%,0.5861666666666666,0.7327083333333333
2023/10,43165,330,,4.9,7.3,14116,32.7%,52%,0.48178082191780824,0.7177551020408163
2023/11,23951,222,,4.3,8.4,11771,49.1%,43%,0.41869047619047617,0.8179069767441861
2023/12,17464,166,,4.3,8.5,8747,50.1%,42%,0.4137647058823529,0.8179069767441861
