Month,Power/kWh,Runtime/Hrs,Avg. PLR,Chiller running COP,COP after VFD retrofit,VFD retrofit saving/kWh,VFD retrofit saving %,Avg. percent line current,chiller efficiency_after,chiller efficiency_before
2022/9,91653,450,,4.9,7.5,31362,34.2%,47%,0.4689333333333333,0.7177551020408163
2022/10,116199,690,,4.7,7.4,41630,35.8%,39%,0.47527027027027025,0.7482978723404254
2022/11,42312,289,,4.1,6.9,17245,40.8%,34%,0.5097101449275362,0.8578048780487806
2022/12,41662,293,,4.1,6.9,16870,40.5%,33%,0.5097101449275362,0.8578048780487806
2023/1,3360,25,,4.3,7.0,1315,39.1%,31%,0.5024285714285714,0.8179069767441861
2023/2,19824,145,,4.3,7.1,7825,39.5%,32%,0.49535211267605633,0.8179069767441861
2023/3,207,2,,4.3,7.0,80,38.7%,32%,0.5024285714285714,0.8179069767441861
2023/4,487,4,,4.4,7.1,186,38.2%,32%,0.49535211267605633,0.7993181818181817
2023/5,97130,596,,4.8,7.5,35596,36.6%,38%,0.4689333333333333,0.7327083333333333
2023/6,71772,449,,4.9,7.6,26090,36.4%,37%,0.4627631578947369,0.7177551020408163
2023/7,136408,588,,4.7,7.0,44521,32.6%,53%,0.5024285714285714,0.7482978723404254
2023/8,169174,697,,4.8,7.2,56291,33.3%,56%,0.4884722222222222,0.7327083333333333
2023/9,39188,194,,4.9,7.6,13719,35.0%,46%,0.4627631578947369,0.7177551020408163
2023/10,17242,108,,4.6,7.7,6840,39.7%,37%,0.45675324675324674,0.7645652173913043
2023/11,40535,274,,4.5,7.5,16191,39.9%,34%,0.4689333333333333,0.7815555555555556
2023/12,8853,65,,4.7,7.4,3183,36.0%,32%,0.47527027027027025,0.7482978723404254
2024/1,333,2,,4.5,7.3,127,38.0%,31%,0.48178082191780824,0.7815555555555556
