serial_number,model_type,Age,20_40,40_60,60_80,80_100,total_days,Latitude,Longitude,City
XR5Q1025,19XR,2010,6.522972206,32.10436756,36.64208735,24.27680091,252,39.9945499,116.28984,???
XR5S1733,19XR,2017,20.47413793,39.65517241,17.88793103,20.25862069,251,36.0556456,103.8565898,???
XR64210,19XR,,0.019361084,42.07163601,54.55953533,3.330106486,251,31.004513,121.234574,???
XR6P1018,19XR,2010,0,0,2.777777778,95.83333333,212,34.7498743,113.6678122,???
XR6P1019,19XR,2010,0,2.247191011,21.34831461,76.40449438,212,34.7498743,113.6678122,???
XR6P1021,19XR,2010,0.442477876,3.982300885,3.982300885,91.59292035,212,34.7498743,113.6678122,???
XR6P1022,19XR,2010,0,0,2.654867257,97.34513274,212,34.7498743,113.6678122,???
XR6P1023,19XR,2010,0,0,2.941176471,97.05882353,212,34.7498743,113.6678122,???
XR6S1029,19XR,2010,1.025390625,48.86067708,50.01627604,0,251,31.8650808,106.7448998,???
XR6S1030,19XR,2010,0.805152979,27.97331493,70.7384403,0.230043708,251,31.8650808,106.7448998,???
XRCS1015,19XR,2010,60.30817785,25.64745196,9.663046505,0.037129862,252,34.7498743,113.6678122,???
XRCS1016,19XR,2010,25.22865854,49.88567073,23.32317073,1.067073171,252,34.7498743,113.6678122,???
XRCS1038,19XR,2010,0.248190279,10.17580145,65.19131334,24.36401241,251,31.8650808,106.7448998,???
XRCS1039,19XR,2010,0.299289188,19.51926674,70.60419005,9.521137299,251,31.8650808,106.7448998,???
XRCS1109,19XR,2011,2.569832402,20.61452514,32.29050279,40.94972067,240,28.5689249,76.8220215,Tehsil Badli
XRCS1111,19XR,2011,19.86666667,54.13333333,17.6,0.4,209,28.5689249,76.8220215,Tehsil Badli
XRCS1112,19XR,2011,0.934880722,18.27852998,60.41263701,18.86954653,171,28.5689249,76.8220215,Tehsil Badli
XRCS1113,19XR,2011,13.36580087,57.08874459,20.83333333,5.681818182,240,28.5689249,76.8220215,Tehsil Badli
XRCS1115,19XR,2011,1.979045402,41.72293364,50.12805588,4.586728754,240,28.5689249,76.8220215,Tehsil Badli
XRCS1116,19XR,2011,9.153669138,46.35643058,37.20276144,5.85527998,240,28.5689249,76.8220215,Tehsil Badli
XREP1048,19XR,2010,1.322751323,6.878306878,72.75132275,18.78306878,253,26.4959999,119.446,???
XREP1049,19XR,2010,0.555555556,8.222222222,35.55555556,55.22222222,253,26.4959999,119.446,???
XREP1050,19XR,2010,0.217286335,5.589087397,45.89570256,48.09270884,253,26.4959999,119.446,???
XREP1162,19XR,2011,0.213187148,3.380539059,24.16628598,72.20953251,161,39.9142833,116.4530132,???
XREP1164,19XR,2011,0.533214841,4.732281715,40.74650078,53.83248167,73,39.9142833,116.4530132,???
XREP1165,19XR,2011,0.211933485,3.945223345,15.31626997,80.4613629,162,39.9142833,116.4530132,???
