,CDT,Control Point,DP,ECDW,ECW,GV,LCDW,LCW,MTRB,OilPD,PLC,Power,SP,VFD,SST,SDT,Year,COOLDT,h_cdo,h_suc,s_suc,h_dis_i,h_dis,eta_comp,COP,psm_cop,eta,COP_Current,COP_New,Energy Saving%,Energy Saving,fn,root,ALC,Hrs,InverT,OilT
mean,52.13297955844821,8.100233100233101,763876.3528596341,25.774738461539826,9.849665581786374,3.8342025205105705,28.063125115680403,8.172203531654363,149.99518691858148,239.80798819968388,51.157018869392495,128.71663733548547,388683.6572881413,99.50904970539356,8.072026374979794,29.62754681944281,2022.4051392071774,1.6417235705633517,241201.2438844839,403235.4528045443,1722.991719348006,417165.9996167312,437601.42269452434,0.4182747687876577,4.788824117000548,7.5998030129852765,0.6438158942818394,4.788824117000548,7.5998030129852765,35.618410571816064,4302.9364294358775,2619Q27626.csv,North_America_chiller_retrofit,,20761.760287551177,,
std,4.324301231289861,0.862586669072387,63306.87104794937,2.3321113518366188,0.8014019784361585,2.6559890353224755,2.7024217404750477,0.8514204520788511,1.7519304419505801,2.629273826767729,9.639785339152612,23.73102229227559,11377.101658322355,0.6691071892764653,0.8515046018687357,2.800920673101274,0.4909309336010404,0.40331683088574083,4061.0907345331498,478.78048519416177,0.39147183502280486,1703.712183512262,5015.97579266498,0.10071467070313185,0.5386045811978623,0.8839876695604448,0.12799833688274834,0.5386045811978623,0.8839876695604448,12.799833688274834,859.303285860261,2619Q27626.csv,North_America_chiller_retrofit,,3722.1762249096732,,
min,38.94444444444444,7.222222222222222,639116.045999998,17.944444444444443,7.88888888888889,0.1,21.11111111111111,6.444444444444445,136.3,205.4637586,35.7,89.5,366297.44659086014,93.2,6.344444444444445,23.654743605759222,2022.0,0.1666666666666643,232632.07179025677,402258.63092377974,1718.9252746973632,412883.5895755942,425705.26078600995,0.20965821486780625,3.3411950016023058,4.972268231364003,0.3699579933269557,3.3411950016023058,4.972268231364003,10.753487991836542,1750.4255573361233,2619Q27626.csv,North_America_chiller_retrofit,,14426.8,,
25%,48.33333333333333,7.222222222222222,705995.18890001,23.666666666666664,9.277777777777779,1.7,25.500000000000004,7.333333333333335,148.4,237.86911650000002,41.1,103.7,377626.3589366829,99.3,7.233333333333335,27.00341565740547,2022.0,1.3888888888888875,237409.01362842627,402762.7311476049,1722.683454894385,415536.51608385955,433343.8682320544,0.30847373946527107,4.255822923028581,7.0456316121993,0.5026014316988884,4.255822923028581,7.0456316121993,25.161298253722098,3591.8277569684938,2619Q27626.csv,North_America_chiller_retrofit,,17778.7,,
50%,50.72222222222222,7.777777777777778,770116.4290000119,25.999999999999996,9.722222222222221,3.6,28.388888888888886,8.055555555555555,149.7,239.24806790000002,52.6,131.8,387026.66795980313,99.6,7.955555555555556,29.9963908609771,2022.0,1.666666666666666,241717.17438542188,403170.7701480053,1723.042340832386,417367.79966413864,435358.2716316709,0.4361021120549998,4.952827240118973,7.534719626715239,0.6723898925651648,4.952827240118973,7.534719626715239,32.761010743483524,4243.508591630523,2619Q27626.csv,North_America_chiller_retrofit,,20318.0,,
75%,56.166666666666664,8.88888888888889,791490.1756999658,26.833333333333332,10.333333333333334,5.6,29.388888888888893,8.833333333333332,151.6,242.0059707,57.0,144.1,397348.85634149367,100.0,8.733333333333333,30.95228320999138,2023.0,1.9444444444444438,243101.12718034338,403608.6210152154,1723.380901676524,418056.9750161948,442556.46987918776,0.5029213363572038,5.253667881493901,8.406156359747303,0.748387017462779,5.253667881493901,8.406156359747303,49.739856830111165,5196.163624906743,2619Q27626.csv,North_America_chiller_retrofit,,23121.7,,
max,69.77777777777777,10.0,983164.4203000423,35.833333333333336,19.944444444444446,14.7,37.27777777777777,17.77777777777778,164.0,248.90072770000003,82.6,207.8,531764.8574151818,100.0,17.677777777777777,38.758467712805725,2023.0,4.722222222222223,254559.43471469573,408516.32213635766,1723.8048273844963,422461.6768258205,452428.18674853514,0.6586380596491329,7.896897545758787,14.908107081451872,0.8924651200816346,7.896897545758787,14.908107081451872,63.00420066730443,9819.979645027146,2619Q27626.csv,North_America_chiller_retrofit,,27523.9,,
count,28096.0,6.0,28096.0,28096.0,28096.0,28090.0,28096.0,28096.0,28096.0,28095.0,28096.0,28096.0,28096.0,28090.0,28096.0,28096.0,28096.0,28096.0,28096.0,28096.0,28096.0,28096.0,28096.0,28096.0,28096.0,28096.0,28096.0,28096.0,28096.0,28096.0,28096.0,4004Q69950.csv,North_America_chiller_retrofit,28096.0,28096.0,5623.0,
mean,46.28752749046474,6.666687859429254,757662.6348015749,26.013415918353843,10.467451834748045,14.66507862846862,27.897391307130704,6.684571456317809,138.8291857894298,215.75029614196745,53.735144840150326,114.54942173593952,369359.5742264749,95.36998509549296,6.585584475856312,29.27044963709337,2022.808833997722,3.782880378430235,240699.95431031458,402395.4716691122,1723.6894480716423,417148.5356044985,431836.406589882,0.5190404961025797,5.62157709745173,6.830151906359948,0.8322264531824108,5.62157709745173,6.830151906359948,16.77735468175892,1606.9988593920002,4004Q69950.csv,North_America_chiller_retrofit,137.02449953121584,24034.30388736942,25.874800723055117,
std,4.307086985374303,0.0,81915.17282766028,3.2078796274504766,1.927163105394865,14.70646550645803,3.6859091770918933,0.2954450782401277,3.268637944210038,3.1413022397260506,14.976111848834773,31.90590997816143,3955.309184532262,1.126476410648183,0.29511795374608046,3.8613719115240084,0.3932264810220044,1.856094426732217,5550.017698900154,165.84748638505206,0.13562163711650801,2346.982034808084,4709.638081260152,0.1375273161833941,0.8326308508152552,1.0211904362035493,0.12566933740245884,0.8326308508152552,1.0211904362035493,12.566933740245885,1031.5838980787,4004Q69950.csv,North_America_chiller_retrofit,38.18806419690281,2509.526360252416,4.239188652898486,
min,31.94666544596354,6.666687859429254,523302.7287576215,15.045000712076822,7.667776743570959,0.01997268572449684,16.023888058132595,4.387777116563585,129.75999450683594,208.34909699500278,31.71241950988769,66.70000457763672,342227.30038473377,94.9975128173828,4.3836689519419,17.1689226348646,2022.0,0.5880567762586768,223500.73983986943,401139.44814820105,1719.118049334939,409607.02827861137,420541.86686664325,0.20222588945209238,3.5031361622506,5.264984082949814,0.41088615695224395,3.5031361622506,5.264984082949814,0.0,0.0,4004Q69950.csv,North_America_chiller_retrofit,80.86666870117188,19744.16015625,19.399998982747395,
25%,42.62610965304904,6.666687859429254,727740.7533824273,25.64083523220486,8.820554945203993,5.28533411026001,26.943333943684895,6.593055725097656,136.593994140625,213.40612182831575,42.99346160888672,91.5999984741211,368173.16566053877,94.9975128173828,6.493055725097657,28.040566589834725,2023.0,2.1413887871636277,238897.67940938726,402343.0544408965,1723.6700164064612,416431.04887337354,427791.816839673,0.4061924061813429,4.895167302329682,6.193794108357929,0.7341771563254929,4.895167302329682,6.193794108357929,4.7133661690562985,647.67942661847,4004Q69950.csv,North_America_chiller_retrofit,109.63333129882812,22021.04150390625,22.5,
50%,45.871946546766495,6.666687859429254,759159.156107118,26.36972215440538,10.029165479871962,9.0324125289917,28.219998677571613,6.659444173177083,138.19099426269528,214.94885737287143,49.52941513061523,106.4000015258789,369013.466878999,94.9975128173828,6.559444173177083,29.498589588766492,2023.0,3.3575005001491927,240998.01180994397,402380.74997313047,1723.7015456507668,417314.891604916,431542.5562656368,0.49795731696385864,5.588455214191302,6.545890397128625,0.8373107777425403,5.588455214191302,6.545890397128625,16.268922225745975,1727.9199160383266,4004Q69950.csv,North_America_chiller_retrofit,126.30000305175781,23949.849609375,25.1000001695421,
75%,49.72888946533203,6.666687859429254,800767.5669724687,27.753334045410156,11.850556267632378,18.043590545654297,29.80555640326606,6.72527737087674,140.09201049804688,217.62029165513613,61.27124500274658,129.30000305175778,369848.1875816408,94.9975128173828,6.6252773708767405,31.361155693911996,2023.0,5.190554724799263,243694.31474543986,402418.118861362,1723.7333862009332,418437.3247165115,435721.03444324783,0.6503328113108244,6.288997457985663,7.053711824125106,0.9528663383094371,6.288997457985663,7.053711824125106,26.582284367450708,2401.317429661208,4004Q69950.csv,North_America_chiller_retrofit,156.26666259765625,26071.22607421875,28.500001695421005,
max,63.597496880425346,6.666687859429254,990976.6336277118,34.242498609754776,24.558614095052082,70.12595367431639,37.56222195095487,17.28249867757161,174.46299743652344,232.7914713607178,104.87582397460938,225.0,523527.1602206944,100.0,17.18249867757161,39.05141573850727,2023.0,10.220832824707028,254995.19378369895,408251.1645456449,1724.769451112294,422715.6898553127,449311.0703396688,0.85,9.443565158569063,12.390301664444301,1.0,9.443565158569063,12.390301664444301,58.9113843047756,8401.924411242846,4004Q69950.csv,North_America_chiller_retrofit,267.4666748046875,28538.197265625,41.6999986436632,
count,32980.0,647.0,32980.0,32980.0,30850.0,29658.0,32214.0,32980.0,31193.0,30514.0,32980.0,32952.0,32980.0,265.0,32980.0,32980.0,32980.0,30850.0,32980.0,32980.0,32980.0,32980.0,32980.0,32980.0,32980.0,32980.0,32980.0,32980.0,32980.0,32980.0,32952.0,4415Q24810.csv,North_America_chiller_retrofit,,1114.0,,
mean,40.768949195106636,8.123561737935772,766306.146244677,24.52956000248961,10.978838466559791,19.574806122980988,27.793795658939256,7.448135233359166,152.8392235511792,247.792830568192,70.3523135235788,301.06712794367564,361383.95953711576,99.5494339507481,5.888741468352722,29.626386904747537,2022.5263493026077,3.5277813801764584,241221.50267555015,401993.17389354436,1724.0501994097863,417462.3583267835,426096.56817741,0.6496548561311533,6.701835296801723,8.368298895086468,0.8061222511594401,6.701835296801723,8.368298895086468,19.387774884055965,5281.790690894431,4415Q24810.csv,North_America_chiller_retrofit,,49529.69784419883,,
