Month,Power/kWh,Runtime/Hrs,Avg. PLR,Chiller running COP,COP after VFD retrofit,VFD retrofit saving/kWh,VFD retrofit saving %,Avg. percent line current,chiller efficiency_after,chiller efficiency_before
2022/11,0,0,,6.9,8.7,0,21.1%,34%,0.40425287356321843,0.5097101449275362
2022/12,0,0,,6.3,8.9,0,28.8%,38%,0.39516853932584267,0.5582539682539682
2023/4,0,0,,6.4,9.0,0,29.0%,39%,0.3907777777777778,0.5495312499999999
2023/5,0,0,,6.8,8.8,0,22.6%,34%,0.39965909090909085,0.5172058823529412
2023/6,0,0,,7.6,9.1,0,16.6%,36%,0.3864835164835165,0.4627631578947369
2023/7,0,0,,6.5,8.8,0,25.7%,54%,0.39965909090909085,0.541076923076923
2023/8,0,0,,6.0,8.5,0,29.2%,68%,0.4137647058823529,0.5861666666666666
2023/9,0,0,,6.0,8.7,0,31.4%,65%,0.40425287356321843,0.5861666666666666
2023/10,0,0,,6.5,8.6,0,24.3%,40%,0.40895348837209305,0.541076923076923
2023/11,0,0,,6.7,8.3,0,18.7%,34%,0.4237349397590361,0.5249253731343283
2023/12,0,0,,5.4,7.9,0,32.2%,33%,0.4451898734177215,0.6512962962962963
2024/1,0,0,,5.2,8.0,0,35.2%,36%,0.439625,0.6763461538461538
2024/2,0,0,,4.6,7.8,0,40.6%,33%,0.4508974358974359,0.7645652173913043
2024/3,0,0,,5.4,8.0,0,31.6%,33%,0.439625,0.6512962962962963
2024/4,0,0,,5.9,8.0,0,26.5%,33%,0.439625,0.5961016949152542
