DateTime,ALC,ALV,CDT,Control Point,DP,ECDW,ECW,Hrs,LCDW,LCW,PLC,Power,SP,Serialnumber,VFD_speed,DateTime
2021-10-04 16:30:00+00:00,392.2,443.7,42.22222222222222,14.444444444444445,776.3496382,25.0,18.166666666666668,67500.4,29.72222222222222,14.5,86.8,300.1,335.0851902,4710Q20221,0.0,2021-10-04 16:30:00
2021-10-04 16:45:00+00:00,403.4,442.5,42.333333333333336,14.166666666666666,772.9022597,25.0,17.83333333333333,67500.4,30.222222222222225,14.11111111111111,90.1,304.8,329.5693846,4710Q20221,0.0,2021-10-04 16:45:00
2021-10-04 17:00:00+00:00,342.9,443.6,41.11111111111111,14.166666666666666,702.5757383,22.333333333333336,17.83333333333333,67500.4,27.388888888888886,14.11111111111111,77.4,260.1,323.3641033,4710Q20221,0.0,2021-10-04 17:00:00
2021-10-04 17:15:00+00:00,329.7,444.4,40.888888888888886,14.166666666666666,686.7177972,21.833333333333332,17.666666666666664,67500.4,26.555555555555554,14.11111111111111,74.4,251.3,324.053579,4710Q20221,0.0,2021-10-04 17:15:00
2021-10-04 17:30:00+00:00,327.0,445.2,41.05555555555556,14.166666666666666,687.4072729000001,22.055555555555557,17.666666666666664,67500.4,26.611111111111114,14.11111111111111,73.9,249.8,326.12200609999996,4710Q20221,0.0,2021-10-04 17:30:00
2021-10-04 17:45:00+00:00,353.4,442.4,42.05555555555556,14.166666666666666,734.2916205,23.61111111111111,17.77777777777778,67500.4,28.000000000000004,14.11111111111111,79.8,270.7,333.0167631,4710Q20221,0.0,2021-10-04 17:45:00
2021-10-04 18:00:00+00:00,385.5,442.6,42.5,14.166666666666666,767.3864541,25.166666666666664,17.77777777777778,67500.4,30.0,14.11111111111111,87.1,294.0,333.0167631,4710Q20221,0.0,2021-10-04 18:00:00
2021-10-04 18:15:00+00:00,366.3,445.6,42.11111111111111,14.166666666666666,746.7021831,24.555555555555557,17.666666666666664,67500.4,29.27777777777778,14.166666666666666,82.7,281.8,333.7062388,4710Q20221,0.0,2021-10-04 18:15:00
2021-10-04 18:30:00+00:00,361.0,444.7,41.611111111111114,14.166666666666666,723.2600093000001,23.777777777777775,17.666666666666664,67500.4,28.777777777777775,14.11111111111111,81.5,275.1,330.2588603,4710Q20221,0.0,2021-10-04 18:30:00
2021-10-04 18:45:00+00:00,333.5,445.4,41.44444444444444,14.166666666666666,694.3020299000001,22.277777777777775,17.666666666666664,67500.4,27.166666666666668,14.11111111111111,75.3,254.6,324.053579,4710Q20221,0.0,2021-10-04 18:45:00
