,Unnamed: 0,serialnumber,metrictype,metricid,metrickey,metricshortname,metricName,metricNameChinese,timezone,description,eventdatetime,adjustedvalue,targetvalue,minwarningthresholdvalue,maxwarningthresholdvalue,minalarmthresholdvalue,maxalarmthresholdvalue,lastvalue,path,alertalarmtype,isalert,isalarm,isreset,algorithm,AlertAlarmDateTime,TimeZoneAbreviation,SnapshotUrl,UtcOffsetMinutes
4,2,XR4K1902,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,PRESTART ALERT-LOW LINE VOLTAGE,Nov 22 2023  3:24AM,107,,,,,,,AlertAlarm/XR4K1902/2023,Device,True,False,False,,2023-11-22T03:24:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_2/2023/11/22/5/42/328221030618_2_1700623449,0.0
6,4,XR4K1902,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,SENSOR ALERT-CONDENSER APPROACH,Dec  5 2023 12:32PM,163,,,,,,,AlertAlarm/XR4K1902/2023,Device,True,False,False,,2023-12-05T12:32:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_2/2023/12/5/21/18/328221030618_2_1701779564,0.0
14,12,XR4K1902,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,PROTECTIVE LIMIT-STARTER FAULT ,Dec  9 2023  9:34AM,206,,,,,,,AlertAlarm/XR4K1902/2023,Device,False,True,False,,2023-12-09T09:34:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_2/2023/12/12/12/48/328221030618_2_1702114466,0.0
16,14,XR4K1902,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,PROTECTIVE LIMIT-LOW OIL PRESSURE,Dec 11 2023  4:40AM,228,,,,,,,AlertAlarm/XR4K1902/2023,Device,False,True,False,,2023-12-11T04:40:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_2/2023/12/16/1/53/328221030618_2_1702269648,0.0
17,15,XR4K1902,,,ALARM_02,CH_ALARM_02,,,Asia/Calcutta,PROTECTIVE LIMIT-PHASE REVERSAL TRIP ,Dec 11 2023  4:52AM,221,,,,,,,AlertAlarm/XR4K1902/2023,Device,False,True,False,,2023-12-11T04:52:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_2/2023/12/16/1/56/328221030618_2_1702270340,0.0
20,18,XR4K1902,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,PROTECTIVE LIMIT-STARTER FAULT ,Dec 12 2023 11:20AM,206,,,,,,,AlertAlarm/XR4K1902/2023,Device,False,True,False,,2023-12-12T11:20:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_2/2023/12/16/10/52/328221030618_2_1702380004,0.0
22,20,XR4K1902,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,SENSOR ALERT-CONDENSER APPROACH,Dec 13 2023 12:16PM,163,,,,,,,AlertAlarm/XR4K1902/2023,Device,True,False,False,,2023-12-13T12:16:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_2/2023/12/16/17/30/328221030618_2_1702469796,0.0
24,22,XR4K1902,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,SENSOR ALERT-EVAPORATOR APPROACH,Dec 23 2023 11:28AM,162,,,,,,,AlertAlarm/XR4K1902/2023,Device,True,False,False,,2023-12-23T11:28:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_2/2023/12/23/11/59/328221030618_2_1703330927,0.0
25,23,XR4K1902,,,ALARM_02,CH_ALARM_02,,,Asia/Calcutta,SENSOR ALERT-CONDENSER APPROACH,Dec 23 2023 11:41AM,163,,,,,,,AlertAlarm/XR4K1902/2023,Device,True,False,False,,2023-12-23T11:41:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_2/2023/12/23/12/7/328221030618_2_1703331661,0.0
30,4,XR4K1902,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,SENSOR ALERT-EVAPORATOR APPROACH,Jan 15 2024  8:36AM,162,,,,,,,AlertAlarm/XR4K1902/2024,Device,True,False,False,,2024-01-15T08:36:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_2/2024/1/15/8/36/328221030618_2_1705307792,0.0
34,8,XR4K1902,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,PROTECTIVE LIMIT-STARTER FAULT ,Jan 18 2024 12:20PM,206,,,,,,,AlertAlarm/XR4K1902/2024,Device,False,True,False,,2024-01-18T12:20:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_2/2024/1/18/12/20/328221030618_2_1705580411,0.0
40,14,XR4K1902,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,PROTECTIVE LIMIT-STARTER FAULT ,Jan 18 2024 12:39PM,206,,,,,,,AlertAlarm/XR4K1902/2024,Device,False,True,False,,2024-01-18T12:39:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_2/2024/1/18/12/39/328221030618_2_1705581570,0.0
42,16,XR4K1902,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,PROTECTIVE LIMIT-STARTER FAULT ,Feb 17 2024  6:38AM,206,,,,,,,AlertAlarm/XR4K1902/2024,Device,False,True,False,,2024-02-17T06:38:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_2/2024/2/17/6/38/328221030618_2_1708151890,0.0
46,20,XR4K1902,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,PROTECTIVE LIMIT-STARTER FAULT ,Feb 17 2024  6:50AM,206,,,,,,,AlertAlarm/XR4K1902/2024,Device,False,True,False,,2024-02-17T06:50:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_2/2024/2/17/6/50/328221030618_2_1708152639,0.0
