,Unnamed: 0,AlertAlarmDateTime,SnapshotUrl,TimeZoneAbreviation,UtcOffsetMinutes,adjustedvalue,alertalarmtype,algorithm,description,eventdatetime,isalarm,isalert,isreset,lastvalue,maxalarmthresholdvalue,maxwarningthresholdvalue,metricName,metricNameChinese,metricid,metrickey,metricshortname,metrictype,minalarmthresholdvalue,minwarningthresholdvalue,path,serialnumber,targetvalue,timezone
6,6,2023-04-17T12:22:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/4/17/15/15/VU139530540410_42_1681734178,,0.0,148,Device,,AUTORESTART PENDING-POWER LOSS,Apr 17 2023 12:22PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
7,7,2023-04-19T20:19:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/4/19/20/47/VU139530540410_42_1681935585,,0.0,163,Device,,SENSOR ALERT-CONDENSER APPROACH,Apr 19 2023  8:19PM,False,True,False,,,,,,,ALARM_03,CH_ALARM_03,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
8,8,2023-04-19T20:31:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/4/19/20/47/VU139530540410_42_1681936301,,0.0,230,Device,,PROTECTIVE LIMIT-LOW CONDENSER WATER FLOW,Apr 19 2023  8:31PM,True,False,False,,,,,,,ALARM_04,CH_ALARM_04,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
22,22,2023-04-25T09:40:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/4/25/10/48/VU139530540410_42_1682415614,,0.0,162,Device,,SENSOR ALERT-EVAPORATOR APPROACH,Apr 25 2023  9:40AM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
24,24,2023-05-21T09:40:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/5/21/9/40/VU139530540410_42_1684662049,,0.0,253,Device,,PROTECTIVE LIMIT-GUIDE VANE CALIBRATION,May 21 2023  9:40AM,True,False,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
28,28,2023-05-21T14:47:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/5/21/15/15/VU139530540410_42_1684680459,,0.0,162,Device,,SENSOR ALERT-EVAPORATOR APPROACH,May 21 2023  2:47PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
33,33,2023-05-27T10:35:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/5/27/10/48/VU139530540410_42_1685183709,,0.0,163,Device,,SENSOR ALERT-CONDENSER APPROACH,May 27 2023 10:35AM,False,True,False,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
35,35,2023-06-18T14:35:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/6/18/16/56/VU139530540410_42_1687098927,,0.0,120,Device,,RUN CAPACITY LIMITED-HIGH CONDENSER PRESSURE,Jun 18 2023  2:35PM,False,True,False,,,,,,,ALARM_03,CH_ALARM_03,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
36,36,2023-06-09T15:15:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/6/18/16/56/VU139530540410_42_1686323703,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jun  9 2023  3:15PM,False,True,False,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
58,58,2023-06-25T09:29:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/6/25/11/1/VU139530540410_42_1687685389,,0.0,120,Device,,RUN CAPACITY LIMITED-HIGH CONDENSER PRESSURE,Jun 25 2023  9:29AM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
59,59,2023-06-25T09:29:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/6/25/11/1/VU139530540410_42_1687685389,,0.0,163,Device,,SENSOR ALERT-CONDENSER APPROACH,Jun 25 2023  9:29AM,False,True,False,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
66,66,2023-06-27T14:10:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/6/27/14/34/VU139530540410_42_1687875059,,0.0,120,Device,,RUN CAPACITY LIMITED-HIGH CONDENSER PRESSURE,Jun 27 2023  2:10PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
67,67,2023-06-27T14:10:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/6/27/14/34/VU139530540410_42_1687875059,,0.0,163,Device,,SENSOR ALERT-CONDENSER APPROACH,Jun 27 2023  2:10PM,False,True,False,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
68,68,2023-06-27T14:10:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/6/27/14/34/VU139530540410_42_1687875059,,0.0,162,Device,,SENSOR ALERT-EVAPORATOR APPROACH,Jun 27 2023  2:10PM,False,True,False,,,,,,,ALARM_03,CH_ALARM_03,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
69,69,2023-06-27T21:25:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/6/27/21/25/VU139530540410_42_1687901129,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jun 27 2023  9:25PM,False,True,False,,,,,,,ALARM_04,CH_ALARM_04,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
