,Unnamed: 0,serialnumber,metrictype,metricid,metrickey,metricshortname,metricName,metricNameChinese,timezone,description,eventdatetime,adjustedvalue,targetvalue,minwarningthresholdvalue,maxwarningthresholdvalue,minalarmthresholdvalue,maxalarmthresholdvalue,lastvalue,path,alertalarmtype,isalert,isalarm,isreset,algorithm,AlertAlarmDateTime,TimeZoneAbreviation,SnapshotUrl,UtcOffsetMinutes
89,52,1601Q6567,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,HIGH COND WATER FLOW,Mar 13 2023  3:28PM,165,,,,,,,AlertAlarm/1601Q6567/2023,Device,True,False,False,,2023-03-13T15:28:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328818010145_1/2023/3/13/15/15/328818010145_1_1678721303,0.0
92,55,1601Q6567,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,CONDENSER APPROACH,Mar 13 2023  3:30PM,163,,,,,,,AlertAlarm/1601Q6567/2023,Device,True,False,False,,2023-03-13T15:30:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328818010145_1/2023/3/13/15/17/328818010145_1_1678721426,0.0
97,60,1601Q6567,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,MOTOR OVERLOAD TRIP,Mar 13 2023  6:40PM,217,,,,,,,AlertAlarm/1601Q6567/2023,Device,False,True,False,,2023-03-13T18:40:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328818010145_1/2023/3/13/18/30/328818010145_1_1678732822,0.0
100,63,1601Q6567,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,CONDENSER APPROACH,Mar 13 2023  6:47PM,163,,,,,,,AlertAlarm/1601Q6567/2023,Device,True,False,False,,2023-03-13T18:47:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328818010145_1/2023/3/13/18/39/328818010145_1_1678733275,0.0
101,64,1601Q6567,,,ALARM_02,CH_ALARM_02,,,Asia/Calcutta,HIGH COND WATER FLOW,Mar 13 2023  6:48PM,165,,,,,,,AlertAlarm/1601Q6567/2023,Device,True,False,False,,2023-03-13T18:48:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328818010145_1/2023/3/13/18/39/328818010145_1_1678733299,0.0
107,70,1601Q6567,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,MOTOR OVERLOAD TRIP,Mar 13 2023  7:37PM,217,,,,,,,AlertAlarm/1601Q6567/2023,Device,False,True,False,,2023-03-13T19:37:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328818010145_1/2023/3/13/19/40/328818010145_1_1678736241,0.0
110,73,1601Q6567,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,CHECK OIL FILTER,Mar 14 2023  4:07AM,142,,,,,,,AlertAlarm/1601Q6567/2023,Device,True,False,False,,2023-03-14T04:07:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328818010145_1/2023/3/14/3/58/328818010145_1_1678766843,0.0
113,76,1601Q6567,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,CHECK OIL FILTER,Mar 15 2023  1:53AM,142,,,,,,,AlertAlarm/1601Q6567/2023,Device,True,False,False,,2023-03-15T01:53:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328818010145_1/2023/3/15/1/44/328818010145_1_1678845234,0.0
117,80,1601Q6567,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,CONDENSER APPROACH,Mar 15 2023  1:55AM,163,,,,,,,AlertAlarm/1601Q6567/2023,Device,True,False,False,,2023-03-15T01:55:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328818010145_1/2023/3/15/1/45/328818010145_1_1678845310,0.0
119,82,1601Q6567,,,ALARM_02,CH_ALARM_02,,,Asia/Calcutta,HIGH COND WATER FLOW,Mar 15 2023  1:55AM,165,,,,,,,AlertAlarm/1601Q6567/2023,Device,True,False,False,,2023-03-15T01:55:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328818010145_1/2023/3/15/1/45/328818010145_1_1678845334,0.0
