,Unnamed: 0,serialnumber,metrictype,metricid,metrickey,metricshortname,metricName,metricNameChinese,timezone,description,eventdatetime,adjustedvalue,targetvalue,minwarningthresholdvalue,maxwarningthresholdvalue,minalarmthresholdvalue,maxalarmthresholdvalue,lastvalue,path,alertalarmtype,isalert,isalarm,isreset,algorithm,AlertAlarmDateTime,TimeZoneAbreviation,SnapshotUrl,UtcOffsetMinutes
3,2,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Mar 26 2023  5:07PM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-03-26T17:07:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/3/26/20/5/VU050685661110_6_1679850472,0.0
8,7,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Apr 23 2023  4:51PM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-04-23T16:51:00,,,0.0
12,11,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,May  7 2023  4:56PM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-05-07T16:56:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/5/7/16/56/VU050685661110_6_1683478600,0.0
16,15,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,May 21 2023  4:52PM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-05-21T16:52:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/5/21/16/52/VU050685661110_6_1684687973,0.0
18,17,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jun 10 2023  6:17AM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-06-10T06:17:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/6/10/6/17/VU050685661110_6_1686377852,0.0
24,23,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jun 18 2023  4:57PM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-06-18T16:57:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/6/18/16/57/VU050685661110_6_1687107420,0.0
28,27,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jul  2 2023  4:57PM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-07-02T16:57:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/7/2/16/57/VU050685661110_6_1688317035,0.0
32,31,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jul 16 2023  4:53PM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-07-16T16:53:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/7/16/16/53/VU050685661110_6_1689526433,0.0
36,35,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Sep  2 2023  4:44AM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-09-02T04:44:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/9/2/4/44/VU050685661110_6_1693629856,0.0
42,41,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Oct 10 2023 10:26AM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-10-10T10:26:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/10/10/10/26/VU050685661110_6_1696933560,0.0
48,47,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Oct 25 2023  5:36AM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-10-25T05:36:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/10/25/6/4/VU050685661110_6_1698212198,0.0
55,54,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Nov 19 2023  5:10PM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-11-19T17:10:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/11/19/17/10/VU050685661110_6_1700413805,0.0
56,55,4704Q70012,,,ALARM_02,CH_ALARM_02,,,Asia/Kuwait,POTENTIAL FREEZE-UP-EVAP PRESS/TEMP TOO LOW,Dec  6 2023  7:14AM,243,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-12-06T07:14:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/6/7/14/VU050685661110_6_1701846855,0.0
57,56,4704Q70012,,,ALARM_03,CH_ALARM_03,,,Asia/Kuwait,PROTECTIVE LIMIT-LOW CHILLED WATER  FLOW,Dec  6 2023  7:14AM,229,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-12-06T07:14:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/6/7/14/VU050685661110_6_1701846855,0.0
59,58,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-GUIDE VANE CALIBRATION,Dec 23 2023  9:06AM,253,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-12-23T09:06:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/23/9/6/VU050685661110_6_1703322370,0.0
60,59,4704Q70012,,,ALARM_04,CH_ALARM_04,,,Asia/Kuwait,PROTECTIVE LIMIT-LOW CHILLED WATER  FLOW,Dec 23 2023  9:13AM,229,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-12-23T09:13:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/23/9/13/VU050685661110_6_1703322819,0.0
65,64,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Dec 24 2023 11:16AM,162,,,,,,,AlertAlarm/4704Q70012/2023,Device,True,False,False,,2023-12-24T11:16:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/24/11/17/VU050685661110_6_1703416616,0.0
66,65,4704Q70012,,,ALARM_02,CH_ALARM_02,,,Asia/Kuwait,RUN CAPACITY LIMITED-LOW EVAP REFRIG TEMP,Dec 24 2023 11:16AM,122,,,,,,,AlertAlarm/4704Q70012/2023,Device,True,False,False,,2023-12-24T11:16:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/24/11/17/VU050685661110_6_1703416616,0.0
71,70,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Dec 24 2023  3:41PM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-12-24T15:41:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/24/15/41/VU050685661110_6_1703432486,0.0
75,74,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Dec 25 2023  4:16AM,162,,,,,,,AlertAlarm/4704Q70012/2023,Device,True,False,False,,2023-12-25T04:16:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/25/4/16/VU050685661110_6_1703477762,0.0
88,87,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Dec 25 2023 10:42AM,162,,,,,,,AlertAlarm/4704Q70012/2023,Device,True,False,False,,2023-12-25T10:42:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/25/10/43/VU050685661110_6_1703500973,0.0
89,88,4704Q70012,,,ALARM_02,CH_ALARM_02,,,Asia/Kuwait,POTENTIAL FREEZE-UP-EVAP PRESS/TEMP TOO LOW,Dec 25 2023 10:42AM,243,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-12-25T10:42:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/25/10/43/VU050685661110_6_1703500973,0.0
90,89,4704Q70012,,,ALARM_03,CH_ALARM_03,,,Asia/Kuwait,SENSOR FAULT-EVAP REFRIG LIQUID TEMP,Dec 25 2023 10:42AM,272,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-12-25T10:42:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/25/10/43/VU050685661110_6_1703500973,0.0
94,93,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Dec 25 2023  6:51PM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-12-25T18:51:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/25/18/52/VU050685661110_6_1703530315,0.0
98,97,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Dec 26 2023  4:53AM,162,,,,,,,AlertAlarm/4704Q70012/2023,Device,True,False,False,,2023-12-26T04:53:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/26/4/53/VU050685661110_6_1703566418,0.0
102,101,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Dec 26 2023  5:12PM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-12-26T17:12:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/26/17/12/VU050685661110_6_1703610730,0.0
106,105,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Dec 27 2023  4:26AM,162,,,,,,,AlertAlarm/4704Q70012/2023,Device,True,False,False,,2023-12-27T04:26:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/27/4/26/VU050685661110_6_1703651171,0.0
119,118,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Dec 27 2023  5:07PM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-12-27T17:07:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/27/17/7/VU050685661110_6_1703696823,0.0
123,122,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Dec 28 2023  4:30AM,162,,,,,,,AlertAlarm/4704Q70012/2023,Device,True,False,False,,2023-12-28T04:30:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/28/4/30/VU050685661110_6_1703737838,0.0
134,133,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Dec 28 2023  4:06PM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-12-28T16:06:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/28/16/6/VU050685661110_6_1703779598,0.0
138,137,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Dec 29 2023  4:32AM,162,,,,,,,AlertAlarm/4704Q70012/2023,Device,True,False,False,,2023-12-29T04:32:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/29/4/32/VU050685661110_6_1703824355,0.0
152,151,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Dec 29 2023  6:38PM,237,,,,,,,AlertAlarm/4704Q70012/2023,Device,False,True,False,,2023-12-29T18:38:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2023/12/29/18/38/VU050685661110_6_1703875113,0.0
156,1,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Mar 25 2024  9:51AM,237,,,,,,,AlertAlarm/4704Q70012/2024,Device,False,True,False,,2024-03-25T09:51:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2024/3/25/9/51/VU050685661110_6_1711360285,0.0
162,7,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Apr  9 2024  7:33AM,237,,,,,,,AlertAlarm/4704Q70012/2024,Device,False,True,False,,2024-04-09T07:33:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2024/4/9/7/34/VU050685661110_6_1712648036,0.0
164,9,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,May 19 2024 07:30:28AM,237,,,,,,,AlertAlarm/4704Q70012/2024,Device,False,True,False,,2024-05-19T07:30:28,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2024/5/19/7/30/VU050685661110_6_1716103828,0.0
168,13,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jun 22 2024 04:07:56AM,237,,,,,,,AlertAlarm/4704Q70012/2024,Device,False,True,False,,2024-06-22T04:07:56,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2024/6/22/4/36/VU050685661110_6_1719029276,0.0
172,17,4704Q70012,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jul 27 2024 03:12:12AM,237,,,,,,,AlertAlarm/4704Q70012/2024,Device,False,True,False,,2024-07-27T03:12:12,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_6/2024/7/27/3/12/VU050685661110_6_1722049932,0.0
