,Unnamed: 0,serialnumber,metrictype,metricid,metrickey,metricshortname,metricName,metricNameChinese,timezone,description,eventdatetime,adjustedvalue,targetvalue,minwarningthresholdvalue,maxwarningthresholdvalue,minalarmthresholdvalue,maxalarmthresholdvalue,lastvalue,path,alertalarmtype,isalert,isalarm,isreset,algorithm,AlertAlarmDateTime,TimeZoneAbreviation,SnapshotUrl,UtcOffsetMinutes
5,4,4504Q70011,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Apr 23 2023  4:51PM,237,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,True,False,,2023-04-23T16:51:00,,,0.0
7,6,4504Q70011,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,May 13 2023  9:33AM,237,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,True,False,,2023-05-13T09:33:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_5/2023/5/13/9/34/VU050685661110_5_1683970436,0.0
11,10,4504Q70011,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,May 29 2023  4:36AM,237,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,True,False,,2023-05-29T04:36:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_5/2023/5/29/4/36/VU050685661110_5_1685334965,0.0
16,15,4504Q70011,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jun 18 2023  4:57PM,237,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,True,False,,2023-06-18T16:57:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_5/2023/6/18/16/57/VU050685661110_5_1687107420,0.0
20,19,4504Q70011,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jul  2 2023  4:53PM,237,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,True,False,,2023-07-02T16:53:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_5/2023/7/2/16/53/VU050685661110_5_1688316830,0.0
24,23,4504Q70011,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jul 20 2023  4:17AM,237,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,True,False,,2023-07-20T04:17:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_5/2023/7/20/4/18/VU050685661110_5_1689826655,0.0
30,29,4504Q70011,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Aug 13 2023  5:29PM,237,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,True,False,,2023-08-13T17:29:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_5/2023/8/13/17/29/VU050685661110_5_1691947776,0.0
32,31,4504Q70011,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Aug 28 2023  4:20AM,237,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,True,False,,2023-08-28T04:20:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_5/2023/8/28/4/20/VU050685661110_5_1693196429,0.0
38,37,4504Q70011,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Sep 13 2023  4:43AM,237,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,True,False,,2023-09-13T04:43:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_5/2023/9/13/17/26/VU050685661110_5_1694580201,0.0
40,39,4504Q70011,,,ALARM_02,CH_ALARM_02,,,Asia/Kuwait,PROTECTIVE LIMIT-LOW CHILLED WATER  FLOW,Sep 17 2023  8:28AM,229,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,True,False,,2023-09-17T08:28:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_5/2023/9/17/10/23/VU050685661110_5_1694939294,0.0
