,Unnamed: 0,AlertAlarmDateTime,SnapshotUrl,TimeZoneAbreviation,UtcOffsetMinutes,adjustedvalue,alertalarmtype,algorithm,description,eventdatetime,isalarm,isalert,isreset,lastvalue,maxalarmthresholdvalue,maxwarningthresholdvalue,metricName,metricNameChinese,metricid,metrickey,metricshortname,metrictype,minalarmthresholdvalue,minwarningthresholdvalue,path,serialnumber,targetvalue,timezone
21,21,2023-06-23T18:12:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/6/23/18/12/VU210550101310_74_1687543961,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jun 23 2023  6:12PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
25,25,2023-06-24T18:23:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/6/24/21/47/VU210550101310_74_1687631034,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jun 24 2023  6:23PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
31,31,2023-06-25T15:54:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/6/25/15/54/VU210550101310_74_1687708465,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jun 25 2023  3:54PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
37,37,2023-07-01T15:14:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/7/1/19/45/VU210550101310_74_1688224497,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jul  1 2023  3:14PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
43,43,2023-07-02T22:05:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/7/2/22/6/VU210550101310_74_1688335555,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jul  2 2023 10:05PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
51,51,2023-07-04T14:37:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/7/5/3/12/VU210550101310_74_1688481424,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jul  4 2023  2:37PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
57,57,2023-07-05T23:35:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/7/5/23/35/VU210550101310_74_1688600151,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jul  5 2023 11:35PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
58,58,2023-07-05T23:35:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/7/5/23/35/VU210550101310_74_1688600151,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jul  5 2023 11:35PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
62,62,2023-07-06T15:01:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/7/6/17/46/VU210550101310_74_1688655684,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jul  6 2023  3:01PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
68,68,2023-07-06T18:46:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/7/6/18/46/VU210550101310_74_1688669198,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jul  6 2023  6:46PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
74,74,2023-07-07T16:58:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/7/7/16/59/VU210550101310_74_1688749139,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jul  7 2023  4:58PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
87,87,2023-07-16T04:07:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/7/16/4/7/VU210550101310_74_1689480427,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jul 16 2023  4:07AM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
89,89,2023-07-16T17:50:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/7/17/1/9/VU210550101310_74_1689529839,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jul 16 2023  5:50PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
99,99,2023-07-24T17:40:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/7/24/20/55/VU210550101310_74_1690220418,,0.0,122,Device,,RUN CAPACITY LIMITED-LOW EVAP REFRIG TEMP,Jul 24 2023  5:40PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
103,103,2023-07-27T15:42:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/7/27/15/42/VU210550101310_74_1690472548,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jul 27 2023  3:42PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
107,107,2023-07-28T21:30:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/7/28/22/46/VU210550101310_74_1690579852,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jul 28 2023  9:30PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
113,113,2023-08-07T17:28:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/8/7/17/28/VU210550101310_74_1691429328,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Aug  7 2023  5:28PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
118,118,2023-08-12T18:28:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/8/12/18/28/VU210550101310_74_1691864896,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Aug 12 2023  6:28PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
127,127,2023-08-16T15:32:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/8/16/15/32/VU210550101310_74_1692199957,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Aug 16 2023  3:32PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
141,141,2023-09-03T16:20:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550101310_74/2023/9/3/16/20/VU210550101310_74_1693758050,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Sep  3 2023  4:20PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5111Q21335/2023,5111Q21335,,America/New_York
