Month,Power/kWh,Runtime/Hrs,Avg. PLR,Chiller running COP,COP after VFD retrofit,VFD retrofit saving/kWh,VFD retrofit saving %,Avg. percent line current,chiller efficiency_after,chiller efficiency_before
2023/1,3876,18,,6.7,10.1,1299,33.5%,44%,0.3482178217821782,0.5249253731343283
2023/2,2043,8,,6.8,9.2,537,26.3%,53%,0.38228260869565217,0.5172058823529412
2023/4,63201,224,,7.2,9.6,16088,25.5%,57%,0.36635416666666665,0.4884722222222222
2023/5,63289,216,,7.0,9.4,16214,25.6%,60%,0.3741489361702127,0.5024285714285714
2023/6,173905,614,,6.6,9.2,47953,27.6%,57%,0.38228260869565217,0.5328787878787878
2023/7,187576,533,,6.4,7.7,31961,17.0%,71%,0.45675324675324674,0.5495312499999999
2023/8,105875,348,,6.4,8.2,23417,22.1%,62%,0.4289024390243903,0.5495312499999999
