,adjustedvalue,alertalarmtype,algorithm,description,eventdatetime,isalarm,isalert,isreset,lastvalue,maxalarmthresholdvalue,maxwarningthresholdvalue,metricName,metricNameChinese,metricid,metrickey,metricshortname,metrictype,minalarmthresholdvalue,minwarningthresholdvalue,path,serialnumber,targetvalue,timezone
0,3.0,Device,,,6/9/2023 7:45:00 AM -07:00,True,False,False,1.0,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2608Q18009/2023,2608Q18009,,America/Phoenix
1,1.0,Device,,,6/9/2023 8:15:00 AM -07:00,False,False,True,3.0,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2608Q18009/2023,2608Q18009,,America/Phoenix
2,155.2,Threshold,,,6/12/2023 1:45:00 AM -07:00,False,True,False,122.8,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
3,154.9,Threshold,,,6/12/2023 2:00:00 AM -07:00,False,False,True,155.2,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
4,155.3,Threshold,,,6/13/2023 9:30:00 PM -07:00,False,True,False,153.8,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
5,133.7,Threshold,,,6/13/2023 10:15:00 PM -07:00,False,False,True,155.4,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
6,155.2,Threshold,,,6/14/2023 10:00:00 PM -07:00,False,True,False,155.0,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
7,133.4,Threshold,,,6/14/2023 10:15:00 PM -07:00,False,False,True,155.2,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
8,155.4,Threshold,,,7/3/2023 1:45:00 AM -07:00,False,True,False,149.5,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
9,151.5,Threshold,,,7/3/2023 2:00:00 AM -07:00,False,False,True,155.4,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
10,3.0,Device,,,9/1/2023 8:00:00 AM -07:00,True,False,False,1.0,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2608Q18009/2023,2608Q18009,,America/Phoenix
11,1.0,Device,,,9/1/2023 8:45:00 AM -07:00,False,False,True,3.0,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2608Q18009/2023,2608Q18009,,America/Phoenix
12,159.8,Threshold,,,9/1/2023 9:45:00 AM -07:00,False,True,False,145.3,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
13,2.0,Device,,,9/1/2023 9:45:00 AM -07:00,False,True,False,1.0,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2608Q18009/2023,2608Q18009,,America/Phoenix
14,3.0,Device,,,9/1/2023 10:15:00 AM -07:00,True,False,False,2.0,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2608Q18009/2023,2608Q18009,,America/Phoenix
15,1.0,Device,,,9/1/2023 11:00:00 AM -07:00,False,False,True,3.0,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2608Q18009/2023,2608Q18009,,America/Phoenix
16,151.1,Threshold,,,9/1/2023 11:15:00 AM -07:00,False,False,True,140.8,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
17,155.1,Threshold,,,9/1/2023 3:15:00 PM -07:00,False,True,False,154.9,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
18,154.3,Threshold,,,9/1/2023 3:30:00 PM -07:00,False,False,True,155.1,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
19,155.1,Threshold,,,9/1/2023 4:15:00 PM -07:00,False,True,False,154.5,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
20,153.8,Threshold,,,9/1/2023 5:15:00 PM -07:00,False,False,True,155.1,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
21,155.2,Threshold,,,9/2/2023 8:30:00 PM -07:00,False,True,False,155.0,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
22,134.2,Threshold,,,9/2/2023 10:15:00 PM -07:00,False,False,True,155.1,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
23,155.1,Threshold,,,9/3/2023 7:45:00 PM -07:00,False,True,False,148.9,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
24,154.7,Threshold,,,9/3/2023 8:00:00 PM -07:00,False,False,True,155.1,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
25,155.4,Threshold,,,9/3/2023 8:15:00 PM -07:00,False,True,False,154.7,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
26,135.3,Threshold,,,9/3/2023 10:15:00 PM -07:00,False,False,True,155.3,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
27,155.1,Threshold,,,9/9/2023 3:30:00 AM -07:00,False,True,False,154.0,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
28,152.0,Threshold,,,9/9/2023 3:45:00 AM -07:00,False,False,True,155.1,175,155,,,,COMPRESS_MTRB,compThrustBrgTemp,,0,0,AlertAlarm/2608Q18009/2023,2608Q18009,0,America/Phoenix
