,Unnamed: 0,serialnumber,metrictype,metricid,metrickey,metricshortname,metricName,metricNameChinese,timezone,description,eventdatetime,adjustedvalue,targetvalue,minwarningthresholdvalue,maxwarningthresholdvalue,minalarmthresholdvalue,maxalarmthresholdvalue,lastvalue,path,alertalarmtype,isalert,isalarm,isreset,algorithm,AlertAlarmDateTime,TimeZoneAbreviation,SnapshotUrl,UtcOffsetMinutes
0,0,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,7/10/2023 11:23:08 AM -04:00,2,,,,,,,AlertAlarm/1499J59408/2023,Device,True,False,False,,,,,
2,2,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,7/10/2023 11:58:09 AM -04:00,3,,,,,,1.0,AlertAlarm/1499J59408/2023,Device,False,True,False,,,,,
4,4,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,9/4/2023 1:50:17 PM -04:00,2,,,,,,1.0,AlertAlarm/1499J59408/2023,Device,True,False,False,,,,,
5,5,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,9/5/2023 1:35:30 PM -04:00,2,,,,,,1.0,AlertAlarm/1499J59408/2023,Device,True,False,False,,,,,
7,7,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,11/27/2023 4:33:51 PM -05:00,2,,,,,,1.0,AlertAlarm/1499J59408/2023,Device,True,False,False,,,,,
9,9,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,11/27/2023 5:43:51 PM -05:00,2,,,,,,1.0,AlertAlarm/1499J59408/2023,Device,True,False,False,,,,,
11,11,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,11/27/2023 9:03:53 PM -05:00,2,,,,,,1.0,AlertAlarm/1499J59408/2023,Device,True,False,False,,,,,
12,12,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,11/27/2023 9:28:53 PM -05:00,2,,,,,,1.0,AlertAlarm/1499J59408/2023,Device,True,False,False,,,,,
13,13,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,11/28/2023 3:29:03 PM -05:00,3,,,,,,1.0,AlertAlarm/1499J59408/2023,Device,False,True,False,,,,,
16,0,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,1/22/2024 10:22:44 AM -05:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
18,2,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,1/25/2024 3:49:18 AM -05:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
20,4,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,2/13/2024 7:37:10 PM -05:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
22,6,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,2/14/2024 12:07:13 AM -05:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
24,8,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,2/14/2024 6:32:23 PM -05:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
25,9,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,2/18/2024 9:03:10 AM -05:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
27,11,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,2/24/2024 9:14:27 AM -05:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
29,13,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,2/26/2024 3:19:56 PM -05:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
31,15,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,2/27/2024 6:05:10 PM -05:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
33,17,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,2/27/2024 11:05:13 PM -05:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
34,18,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,2/28/2024 4:30:22 PM -05:00,2,,,,,,3.0,AlertAlarm/1499J59408/2024,Device,True,False,False,,,,,
35,19,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,2/28/2024 5:00:22 PM -05:00,3,,,,,,2.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
38,22,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,3/2/2024 9:30:57 AM -05:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
40,24,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,3/4/2024 11:11:23 AM -05:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
42,26,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,3/5/2024 2:31:32 AM -05:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
44,28,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,3/5/2024 6:41:41 PM -05:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
46,30,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,3/6/2024 10:46:56 PM -05:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
48,32,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,3/29/2024 12:01:49 PM -04:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
50,34,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,3/30/2024 5:57:06 PM -04:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
52,36,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,4/1/2024 10:12:29 AM -04:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
54,38,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,4/2/2024 9:42:43 AM -04:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
56,40,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,4/6/2024 6:13:32 PM -04:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
58,42,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,4/7/2024 8:33:39 AM -04:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
60,44,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,4/12/2024 2:04:37 PM -04:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
62,46,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,4/13/2024 9:33:35 AM -04:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
63,47,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,5/2/2024 6:04:27 PM -04:00,2,,,,,,3.0,AlertAlarm/1499J59408/2024,Device,True,False,False,,,,,
66,50,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,5/2/2024 7:54:28 PM -04:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
68,52,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,5/3/2024 3:09:38 PM -04:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
70,54,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,5/3/2024 5:39:40 PM -04:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
72,56,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,5/3/2024 7:04:40 PM -04:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
73,57,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,5/5/2024 7:25:01 AM -04:00,2,,,,,,3.0,AlertAlarm/1499J59408/2024,Device,True,False,False,,,,,
75,59,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,5/5/2024 7:35:01 AM -04:00,3,,,,,,2.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
78,62,1499J59408,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,5/8/2024 11:40:42 AM -04:00,3,,,,,,1.0,AlertAlarm/1499J59408/2024,Device,False,True,False,,,,,
