,serialnumber,metrictype,metricid,metrickey,metricshortname,metricName,metricNameChinese,timezone,description,eventdatetime,adjustedvalue,targetvalue,minwarningthresholdvalue,maxwarningthresholdvalue,minalarmthresholdvalue,maxalarmthresholdvalue,lastvalue,path,alertalarmtype,isalert,isalarm,isreset,algorithm,AlertAlarmDateTime,TimeZoneAbreviation,SnapshotUrl,UtcOffsetMinutes
0,XR4K1903,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,,12/19/2022 4:38:05 PM +05:30,2,,,,,,1.0,AlertAlarm/XR4K1903/2022,Device,True,False,False,,,,,
1,XR4K1903,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,System Alert Alarm,Dec 19 2022 11:23AM,2,,,,,,,AlertAlarm/XR4K1903/2022,Device,False,False,True,,2022-12-19T11:23:00,,,0.0
2,XR4K1903,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,,12/20/2022 10:41:26 AM +05:30,2,,,,,,1.0,AlertAlarm/XR4K1903/2022,Device,True,False,False,,,,,
3,XR4K1903,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,System Alert Alarm,Dec 20 2022  6:16AM,2,,,,,,,AlertAlarm/XR4K1903/2022,Device,False,False,True,,2022-12-20T06:16:00,,,0.0
4,XR4K1903,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,,12/20/2022 3:41:33 PM +05:30,2,,,,,,1.0,AlertAlarm/XR4K1903/2022,Device,True,False,False,,,,,
5,XR4K1903,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,System Alert Alarm,Dec 20 2022 10:21AM,2,,,,,,,AlertAlarm/XR4K1903/2022,Device,False,False,True,,2022-12-20T10:21:00,,,0.0
0,XR4K1903,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,,1/18/2023 2:37:04 PM +05:30,2,,,,,,1.0,AlertAlarm/XR4K1903/2023,Device,True,False,False,,,,,
1,XR4K1903,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,System Alert Alarm,Jan 18 2023  9:12AM,2,,,,,,,AlertAlarm/XR4K1903/2023,Device,False,False,True,,2023-01-18T09:12:00,,,0.0
2,XR4K1903,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,,1/18/2023 2:47:05 PM +05:30,2,,,,,,1.0,AlertAlarm/XR4K1903/2023,Device,True,False,False,,,,,
3,XR4K1903,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,System Alert Alarm,Jan 18 2023  9:27AM,2,,,,,,,AlertAlarm/XR4K1903/2023,Device,False,False,True,,2023-01-18T09:27:00,,,0.0
4,XR4K1903,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,,1/18/2023 3:07:05 PM +05:30,2,,,,,,1.0,AlertAlarm/XR4K1903/2023,Device,True,False,False,,,,,
5,XR4K1903,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,System Alert Alarm,Jan 18 2023  9:42AM,2,,,,,,,AlertAlarm/XR4K1903/2023,Device,False,False,True,,2023-01-18T09:42:00,,,0.0
6,XR4K1903,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,System Alert Alarm,Jan 22 2023  6:52AM,3,,,,,,,AlertAlarm/XR4K1903/2023,Device,False,False,True,,2023-01-22T06:52:00,,,0.0
