,AlertAlarmDateTime,SnapshotUrl,TimeZoneAbreviation,UtcOffsetMinutes,adjustedvalue,alertalarmtype,algorithm,description,eventdatetime,isalarm,isalert,isreset,lastvalue,maxalarmthresholdvalue,maxwarningthresholdvalue,metricName,metricNameChinese,metricid,metrickey,metricshortname,metrictype,minalarmthresholdvalue,minwarningthresholdvalue,path,serialnumber,targetvalue,timezone
26,,,,,3,Device,,,6/30/2023 9:48:32 AM -07:00,True,False,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
27,2023-06-30T16:58:00,,,0.0,3,Device,,System Alert Alarm,Jun 30 2023  4:58PM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
28,,,,,2,Device,,,6/30/2023 10:18:32 AM -07:00,False,True,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
29,2023-06-30T17:28:00,,,0.0,2,Device,,System Alert Alarm,Jun 30 2023  5:28PM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
30,2023-06-30T18:58:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/30/18/58/VU207150371310_2_1688151486,,0.0,163,Device,,SENSOR ALERT-CONDENSER APPROACH,Jun 30 2023  6:58PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
31,2023-06-30T18:58:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/30/18/58/VU207150371310_2_1688151486,,0.0,120,Device,,RUN CAPACITY LIMITED-HIGH CONDENSER PRESSURE,Jun 30 2023  6:58PM,False,True,False,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
32,2023-06-30T18:58:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/30/18/58/VU207150371310_2_1688151486,,0.0,238,Device,,PROTECTIVE LIMIT-EXCESSIVE COMPR SURGE,Jun 30 2023  6:58PM,True,False,False,,,,,,,ALARM_03,CH_ALARM_03,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
33,2023-06-30T18:58:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/30/18/58/VU207150371310_2_1688151486,,0.0,230,Device,,PROTECTIVE LIMIT-LOW CONDENSER WATER FLOW,Jun 30 2023  6:58PM,True,False,False,,,,,,,ALARM_04,CH_ALARM_04,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
34,2023-06-30T18:58:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/30/18/58/VU207150371310_2_1688151486,,0.0,151,Device,,CONDENSER PRESSURE ALERT-PUMP RELAY ENERGIZED,Jun 30 2023  6:58PM,False,True,False,,,,,,,ALARM_05,CH_ALARM_05,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
35,,,,,3,Device,,,6/30/2023 11:58:33 AM -07:00,True,False,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
36,,,,,1,Device,,,6/30/2023 12:03:33 PM -07:00,True,False,False,0.0,,,,,,ALM,CH_ALARMRELAY,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
37,2023-06-30T19:18:00,,,0.0,1,Device,,Alarm Relay,Jun 30 2023  7:18PM,False,False,True,,,,,,,ALM,CH_ALARMRELAY,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
38,2023-06-30T19:18:00,,,0.0,3,Device,,System Alert Alarm,Jun 30 2023  7:18PM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
39,2023-06-30T19:18:00,,,0.0,238,Device,,PROTECTIVE LIMIT-EXCESSIVE COMPR SURGE,Jun 30 2023  7:18PM,True,False,True,,,,,,,ALARM_03,CH_ALARM_03,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
40,2023-06-30T19:18:00,,,0.0,230,Device,,PROTECTIVE LIMIT-LOW CONDENSER WATER FLOW,Jun 30 2023  7:18PM,True,False,True,,,,,,,ALARM_04,CH_ALARM_04,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
41,2023-06-30T19:18:00,,,0.0,163,Device,,SENSOR ALERT-CONDENSER APPROACH,Jun 30 2023  7:18PM,False,True,True,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
42,2023-06-30T19:18:00,,,0.0,120,Device,,RUN CAPACITY LIMITED-HIGH CONDENSER PRESSURE,Jun 30 2023  7:18PM,False,True,True,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
43,2023-06-30T19:18:00,,,0.0,151,Device,,CONDENSER PRESSURE ALERT-PUMP RELAY ENERGIZED,Jun 30 2023  7:18PM,False,True,True,,,,,,,ALARM_05,CH_ALARM_05,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
44,2023-06-30T19:21:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/30/19/21/VU207150371310_2_1688152875,,0.0,163,Device,,SENSOR ALERT-CONDENSER APPROACH,Jun 30 2023  7:21PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
45,2023-06-30T19:21:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/30/19/21/VU207150371310_2_1688152875,,0.0,120,Device,,RUN CAPACITY LIMITED-HIGH CONDENSER PRESSURE,Jun 30 2023  7:21PM,False,True,False,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
46,2023-06-30T19:21:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/30/19/21/VU207150371310_2_1688152875,,0.0,151,Device,,CONDENSER PRESSURE ALERT-PUMP RELAY ENERGIZED,Jun 30 2023  7:21PM,False,True,False,,,,,,,ALARM_03,CH_ALARM_03,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
47,,,,,2,Device,,,6/30/2023 12:23:33 PM -07:00,False,True,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
48,2023-06-30T19:33:00,,,0.0,2,Device,,System Alert Alarm,Jun 30 2023  7:33PM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
49,2023-06-30T19:33:00,,,0.0,163,Device,,SENSOR ALERT-CONDENSER APPROACH,Jun 30 2023  7:33PM,False,True,True,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
50,2023-06-30T19:33:00,,,0.0,120,Device,,RUN CAPACITY LIMITED-HIGH CONDENSER PRESSURE,Jun 30 2023  7:33PM,False,True,True,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
51,2023-06-30T19:33:00,,,0.0,151,Device,,CONDENSER PRESSURE ALERT-PUMP RELAY ENERGIZED,Jun 30 2023  7:33PM,False,True,True,,,,,,,ALARM_03,CH_ALARM_03,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
52,2023-07-06T17:12:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/7/6/21/59/VU207150371310_2_1688663570,,0.0,206,Device,,PROTECTIVE LIMIT-STARTER FAULT ,Jul  6 2023  5:12PM,True,False,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
53,,,,,3,Device,,,7/6/2023 10:16:51 AM -07:00,True,False,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
54,2023-07-06T17:31:00,,,0.0,3,Device,,System Alert Alarm,Jul  6 2023  5:31PM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
55,2023-07-06T17:31:00,,,0.0,206,Device,,PROTECTIVE LIMIT-STARTER FAULT ,Jul  6 2023  5:31PM,True,False,True,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
56,2023-07-15T17:12:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/7/15/17/12/VU207150371310_2_1689441150,,0.0,238,Device,,PROTECTIVE LIMIT-EXCESSIVE COMPR SURGE,Jul 15 2023  5:12PM,True,False,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
57,,,,,3,Device,,,7/15/2023 10:13:48 AM -07:00,True,False,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
58,,,,,1,Device,,,7/15/2023 10:18:48 AM -07:00,True,False,False,0.0,,,,,,ALM,CH_ALARMRELAY,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
59,2023-07-15T18:03:00,,,0.0,1,Device,,Alarm Relay,Jul 15 2023  6:03PM,False,False,True,,,,,,,ALM,CH_ALARMRELAY,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
60,2023-07-15T18:03:00,,,0.0,3,Device,,System Alert Alarm,Jul 15 2023  6:03PM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
61,2023-07-15T18:03:00,,,0.0,238,Device,,PROTECTIVE LIMIT-EXCESSIVE COMPR SURGE,Jul 15 2023  6:03PM,True,False,True,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
62,,,,,1,Device,,,7/15/2023 11:18:49 AM -07:00,True,False,False,0.0,,,,,,ALM,CH_ALARMRELAY,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
63,2023-07-15T18:53:00,,,0.0,1,Device,,Alarm Relay,Jul 15 2023  6:53PM,False,False,True,,,,,,,ALM,CH_ALARMRELAY,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
64,2023-07-15T18:56:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/7/15/18/57/VU207150371310_2_1689447419,,0.0,163,Device,,SENSOR ALERT-CONDENSER APPROACH,Jul 15 2023  6:56PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
65,,,,,2,Device,,,7/15/2023 11:58:49 AM -07:00,False,True,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
66,2023-07-15T19:03:00,,,0.0,2,Device,,System Alert Alarm,Jul 15 2023  7:03PM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
