,adjustedvalue,alertalarmtype,algorithm,description,eventdatetime,isalarm,isalert,isreset,lastvalue,maxalarmthresholdvalue,maxwarningthresholdvalue,metricName,metricNameChinese,metricid,metrickey,metricshortname,metrictype,minalarmthresholdvalue,minwarningthresholdvalue,path,serialnumber,targetvalue,timezone
0,2,Device,,,6/6/2023 12:15:00 AM -05:00,False,True,False,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
1,3,Device,,,6/6/2023 12:45:00 PM -05:00,True,False,False,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
2,2,Device,,,6/6/2023 2:15:00 PM -05:00,False,True,False,3,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
3,1,Device,,,6/7/2023 7:30:00 AM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
4,2,Device,,,6/7/2023 9:15:00 AM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
5,1,Device,,,6/28/2023 4:30:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
6,2,Device,,,6/28/2023 5:00:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
7,3,Device,,,6/28/2023 5:30:00 PM -05:00,True,False,False,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
8,1,Device,,,6/28/2023 5:45:00 PM -05:00,False,False,True,3,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
9,2,Device,,,6/28/2023 6:15:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
10,1,Device,,,6/30/2023 8:00:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
11,2,Device,,,6/30/2023 8:15:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
12,1,Device,,,7/18/2023 5:15:00 AM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
13,2,Device,,,7/18/2023 5:30:00 AM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
14,1,Device,,,7/19/2023 6:15:00 AM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
15,2,Device,,,7/19/2023 6:30:00 AM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
16,1,Device,,,7/24/2023 8:15:00 AM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
17,2,Device,,,7/24/2023 12:30:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
18,1,Device,,,7/24/2023 1:15:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
19,2,Device,,,7/24/2023 1:45:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
20,1,Device,,,7/26/2023 3:45:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
21,2,Device,,,7/27/2023 8:15:00 AM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
22,1,Device,,,7/30/2023 5:30:00 AM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
23,2,Device,,,7/30/2023 8:00:00 AM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
24,1,Device,,,7/30/2023 11:15:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
25,2,Device,,,8/1/2023 3:45:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
26,1,Device,,,8/1/2023 5:00:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
27,2,Device,,,8/2/2023 5:00:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
28,1,Device,,,8/2/2023 8:00:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
29,2,Device,,,8/3/2023 3:30:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
30,1,Device,,,8/3/2023 4:00:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
31,2,Device,,,8/5/2023 6:15:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
32,1,Device,,,8/5/2023 8:30:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
33,2,Device,,,8/11/2023 9:00:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
34,1,Device,,,8/11/2023 11:00:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2511Q20862/2023,2511Q20862,,America/Chicago
