,serialnumber,metrictype,metricid,metrickey,metricshortname,metricName,metricNameChinese,timezone,description,eventdatetime,adjustedvalue,targetvalue,minwarningthresholdvalue,maxwarningthresholdvalue,minalarmthresholdvalue,maxalarmthresholdvalue,lastvalue,path,alertalarmtype,isalert,isalarm,isreset,algorithm,AlertAlarmDateTime,TimeZoneAbreviation,SnapshotUrl,UtcOffsetMinutes
0,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,,12/13/2022 3:13:35 PM +03:00,3,,,,,,,AlertAlarm/4604Q70013/2022,Device,False,True,False,,,,,
0,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,Mar 14 2023  7:28AM,3,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,False,True,,2023-03-14T07:28:00,,,0.0
1,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,Mar 14 2023  8:18AM,2,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,False,True,,2023-03-14T08:18:00,,,0.0
2,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,Mar 14 2023  9:15AM,3,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,False,True,,2023-03-14T09:15:00,,,0.0
3,4604Q70013,,,ALARM_02,CH_ALARM_02,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Mar 14 2023  9:15AM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-03-14T09:15:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/3/14/10/59/VU050685661110_7_1678785308,0.0
4,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Mar 14 2023  8:58PM,162,,,,,,,AlertAlarm/4604Q70013/2023,Device,True,False,True,,2023-03-14T20:58:00,,,0.0
5,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,Apr 10 2023  7:13AM,2,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,False,True,,2023-04-10T07:13:00,,,0.0
6,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Apr 10 2023  7:13AM,162,,,,,,,AlertAlarm/4604Q70013/2023,Device,True,False,False,,2023-04-10T07:13:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/4/10/7/14/VU050685661110_7_1681110831,0.0
7,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Apr 10 2023  7:44AM,162,,,,,,,AlertAlarm/4604Q70013/2023,Device,True,False,True,,2023-04-10T07:44:00,,,0.0
8,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,Apr 10 2023  7:59AM,2,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,False,True,,2023-04-10T07:59:00,,,0.0
9,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,Apr 11 2023  4:49AM,2,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,False,True,,2023-04-11T04:49:00,,,0.0
10,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,,4/12/2023 10:50:09 PM +03:00,3,,,,,,1.0,AlertAlarm/4604Q70013/2023,Device,False,True,False,,,,,
11,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,Apr 23 2023  4:56PM,3,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,False,True,,2023-04-23T16:56:00,,,0.0
12,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Apr 24 2023  4:39AM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,True,,2023-04-24T04:39:00,,,0.0
13,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Apr 25 2023  4:31AM,162,,,,,,,AlertAlarm/4604Q70013/2023,Device,True,False,False,,2023-04-25T04:31:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/4/25/4/31/VU050685661110_7_1682397079,0.0
14,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,,4/25/2023 7:34:31 AM +03:00,2,,,,,,1.0,AlertAlarm/4604Q70013/2023,Device,True,False,False,,,,,
15,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,Apr 25 2023  4:39AM,2,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,False,True,,2023-04-25T04:39:00,,,0.0
16,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Apr 25 2023  4:39AM,162,,,,,,,AlertAlarm/4604Q70013/2023,Device,True,False,True,,2023-04-25T04:39:00,,,0.0
17,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Apr 26 2023  3:47AM,162,,,,,,,AlertAlarm/4604Q70013/2023,Device,True,False,False,,2023-04-26T03:47:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/4/26/3/48/VU050685661110_7_1682480876,0.0
18,4604Q70013,,,ALARM_02,CH_ALARM_02,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Apr 26 2023  3:47AM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-04-26T03:47:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/4/26/3/48/VU050685661110_7_1682480876,0.0
19,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,,4/26/2023 6:49:56 AM +03:00,3,,,,,,1.0,AlertAlarm/4604Q70013/2023,Device,False,True,False,,,,,
20,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,Apr 26 2023 11:31PM,3,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,False,True,,2023-04-26T23:31:00,,,0.0
21,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Apr 26 2023 11:31PM,162,,,,,,,AlertAlarm/4604Q70013/2023,Device,True,False,True,,2023-04-26T23:31:00,,,0.0
22,4604Q70013,,,ALARM_02,CH_ALARM_02,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,May 10 2023  4:40AM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,True,,2023-05-10T04:40:00,,,0.0
23,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,,5/11/2023 7:30:41 AM +03:00,3,,,,,,1.0,AlertAlarm/4604Q70013/2023,Device,False,True,False,,,,,
24,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,May 21 2023  4:55PM,3,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,False,True,,2023-05-21T16:55:00,,,0.0
25,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,May 21 2023  4:55PM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-05-21T16:55:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/5/21/16/55/VU050685661110_7_1684688113,0.0
26,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,May 21 2023  4:55PM,3,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,False,True,,2023-05-21T16:55:00,,,0.0
27,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,May 21 2023  4:55PM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-05-21T16:55:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/5/21/16/55/VU050685661110_7_1684688113,0.0
28,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jun 15 2023  5:13AM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,True,,2023-06-15T05:13:00,,,0.0
29,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,,6/18/2023 10:54:47 AM +03:00,3,,,,,,1.0,AlertAlarm/4604Q70013/2023,Device,False,True,False,,,,,
30,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,Jun 18 2023  4:54PM,3,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,False,True,,2023-06-18T16:54:00,,,0.0
31,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jun 18 2023  4:54PM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-06-18T16:54:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/6/18/16/54/VU050685661110_7_1687107282,0.0
32,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jun 20 2023  8:47AM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,True,,2023-06-20T08:47:00,,,0.0
33,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,,6/25/2023 1:24:20 PM +03:00,3,,,,,,1.0,AlertAlarm/4604Q70013/2023,Device,False,True,False,,,,,
34,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,Jun 26 2023  7:04AM,3,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,False,True,,2023-06-26T07:04:00,,,0.0
35,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jul  6 2023  4:20AM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-07-06T04:20:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/7/6/4/20/VU050685661110_7_1688617252,0.0
36,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,,7/6/2023 7:26:21 AM +03:00,3,,,,,,1.0,AlertAlarm/4604Q70013/2023,Device,False,True,False,,,,,
37,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,Jul 10 2023  6:03AM,3,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,False,True,,2023-07-10T06:03:00,,,0.0
38,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jul 10 2023  6:03AM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,True,,2023-07-10T06:03:00,,,0.0
39,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,,7/12/2023 7:39:05 AM +03:00,3,,,,,,1.0,AlertAlarm/4604Q70013/2023,Device,False,True,False,,,,,
40,4604Q70013,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,Jul 16 2023  4:53PM,3,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,False,True,,2023-07-16T16:53:00,,,0.0
41,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jul 16 2023  4:53PM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-07-16T16:53:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/7/16/16/53/VU050685661110_7_1689526433,0.0
