,AlertAlarmDateTime,SnapshotUrl,TimeZoneAbreviation,UtcOffsetMinutes,adjustedvalue,alertalarmtype,algorithm,description,eventdatetime,isalarm,isalert,isreset,lastvalue,maxalarmthresholdvalue,maxwarningthresholdvalue,metricName,metricNameChinese,metricid,metrickey,metricshortname,metrictype,minalarmthresholdvalue,minwarningthresholdvalue,path,serialnumber,targetvalue,timezone
0,,,,,3,Device,,,1/10/2023 10:57:06 AM -08:00,True,False,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
1,2023-01-10T19:22:00,,,0.0,3,Device,,System Alert /Alarm,Jan 10 2023  7:22PM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
2,2023-03-06T12:15:00,,,0.0,3,Device,,System Alert /Alarm,Mar  6 2023 12:15PM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
3,2023-03-14T21:09:00,,,0.0,3,Device,,System Alert /Alarm,Mar 14 2023  9:09PM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
4,2023-03-14T20:08:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550150310_1/2023/3/15/2/41/VU210550150310_1_1678824492,,0.0,143,Device,,AUTORESTART PENDING-LINE PHASE LOSS,Mar 14 2023  8:08PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
5,2023-03-14T20:08:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550150310_1/2023/3/15/2/41/VU210550150310_1_1678824492,,0.0,229,Device,,PROTECTIVE LIMIT-LOW CHILLED WATER  FLOW,Mar 14 2023  8:08PM,True,False,False,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
6,2023-03-14T20:24:00,,,0.0,229,Device,,PROTECTIVE LIMIT-LOW CHILLED WATER  FLOW,Mar 14 2023  8:24PM,True,False,True,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
7,2023-03-14T21:09:00,,,0.0,143,Device,,AUTORESTART PENDING-LINE PHASE LOSS,Mar 14 2023  9:09PM,False,True,True,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
8,2023-03-21T17:26:00,,,0.0,3,Device,,System Alert /Alarm,Mar 21 2023  5:26PM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
9,2023-03-21T17:26:00,,,0.0,229,Device,,PROTECTIVE LIMIT-LOW CHILLED WATER  FLOW,Mar 21 2023  5:26PM,True,False,True,,,,,,,ALARM_03,CH_ALARM_03,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
10,2023-03-27T04:55:00,,,0.0,3,Device,,System Alert /Alarm,Mar 27 2023  4:55AM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
11,2023-03-27T03:20:00,,,0.0,166,Device,,HIGH DC BUS VOLTAGE,Mar 27 2023  3:20AM,False,True,True,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
12,2023-04-25T02:05:00,,,0.0,229,Device,,PROTECTIVE LIMIT-LOW CHILLED WATER  FLOW,Apr 25 2023  2:05AM,True,False,True,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
13,2023-04-25T02:05:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550150310_1/2023/4/25/2/5/VU210550150310_1_1682388345,,0.0,143,Device,,AUTORESTART PENDING-LINE PHASE LOSS,Apr 25 2023  2:05AM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
14,2023-04-25T12:22:00,,,0.0,143,Device,,AUTORESTART PENDING-LINE PHASE LOSS,Apr 25 2023 12:22PM,False,True,True,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
15,,,,,3,Device,,,4/25/2023 5:17:52 AM -07:00,True,False,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
16,2023-05-01T10:31:00,,,0.0,3,Device,,System Alert /Alarm,May  1 2023 10:31AM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
17,2023-05-01T10:31:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550150310_1/2023/5/1/13/10/VU210550150310_1_1682937091,,0.0,143,Device,,AUTORESTART PENDING-LINE PHASE LOSS,May  1 2023 10:31AM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
18,2023-06-20T20:49:00,,,0.0,143,Device,,AUTORESTART PENDING-LINE PHASE LOSS,Jun 20 2023  8:49PM,False,True,True,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
19,2023-06-20T20:49:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550150310_1/2023/6/20/21/47/VU210550150310_1_1687294188,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jun 20 2023  8:49PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
