,adjustedvalue,alertalarmtype,algorithm,description,eventdatetime,isalarm,isalert,isreset,lastvalue,maxalarmthresholdvalue,maxwarningthresholdvalue,metricName,metricNameChinese,metricid,metrickey,metricshortname,metrictype,minalarmthresholdvalue,minwarningthresholdvalue,path,serialnumber,targetvalue,timezone
0,3,Device,,,6/6/2023 11:45:00 AM -05:00,True,False,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2619Q27626/2023,2619Q27626,,America/Chicago
1,1,Device,,,6/6/2023 12:00:00 PM -05:00,False,False,True,3,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2619Q27626/2023,2619Q27626,,America/Chicago
2,2,Device,,,6/27/2023 10:45:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2619Q27626/2023,2619Q27626,,America/Chicago
3,1,Device,,,6/27/2023 11:00:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2619Q27626/2023,2619Q27626,,America/Chicago
4,2,Device,,,6/28/2023 11:15:00 AM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2619Q27626/2023,2619Q27626,,America/Chicago
5,1,Device,,,6/28/2023 12:00:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2619Q27626/2023,2619Q27626,,America/Chicago
6,2,Device,,,6/28/2023 12:15:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2619Q27626/2023,2619Q27626,,America/Chicago
7,1,Device,,,6/28/2023 12:30:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2619Q27626/2023,2619Q27626,,America/Chicago
8,2,Device,,,6/29/2023 7:45:00 AM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2619Q27626/2023,2619Q27626,,America/Chicago
9,1,Device,,,6/30/2023 9:00:00 AM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2619Q27626/2023,2619Q27626,,America/Chicago
10,2,Device,,,6/30/2023 12:15:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2619Q27626/2023,2619Q27626,,America/Chicago
11,1,Device,,,6/30/2023 12:45:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2619Q27626/2023,2619Q27626,,America/Chicago
12,2,Device,,,7/1/2023 3:45:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/2619Q27626/2023,2619Q27626,,America/Chicago
