,AlertAlarmDateTime,SnapshotUrl,TimeZoneAbreviation,UtcOffsetMinutes,adjustedvalue,alertalarmtype,algorithm,description,eventdatetime,isalarm,isalert,isreset,lastvalue,maxalarmthresholdvalue,maxwarningthresholdvalue,metricName,metricNameChinese,metricid,metrickey,metricshortname,metrictype,minalarmthresholdvalue,minwarningthresholdvalue,path,serialnumber,targetvalue,timezone
0,,,,,3,Device,,,5/13/2023 1:12:10 AM -04:00,True,False,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4998J59038/2023,4998J59038,,America/New_York
1,2023-05-13T06:12:00,,,0.0,3,Device,,System Alert Alarm,May 13 2023  6:12AM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4998J59038/2023,4998J59038,,America/New_York
2,,,,,3,Device,,,7/13/2023 7:11:48 PM -04:00,True,False,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4998J59038/2023,4998J59038,,America/New_York
