,adjustedvalue,alertalarmtype,algorithm,description,eventdatetime,isalarm,isalert,isreset,lastvalue,maxalarmthresholdvalue,maxwarningthresholdvalue,metricName,metricNameChinese,metricid,metrickey,metricshortname,metrictype,minalarmthresholdvalue,minwarningthresholdvalue,path,serialnumber,targetvalue,timezone
0,2,Device,,,6/5/2023 4:15:00 PM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
1,1,Device,,,6/5/2023 11:45:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
2,2,Device,,,6/6/2023 2:30:00 AM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
3,1,Device,,,6/6/2023 12:15:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
4,3,Device,,,6/7/2023 5:15:00 PM -04:00,True,False,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
5,1,Device,,,6/7/2023 6:00:00 PM -04:00,False,False,True,3,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
6,3,Device,,,6/12/2023 12:30:00 AM -04:00,True,False,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
7,1,Device,,,6/12/2023 4:30:00 AM -04:00,False,False,True,3,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
8,2,Device,,,6/16/2023 12:30:00 PM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
9,1,Device,,,6/16/2023 3:45:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
10,2,Device,,,6/17/2023 9:30:00 PM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
11,1,Device,,,6/17/2023 10:00:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
12,2,Device,,,6/20/2023 4:00:00 PM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
13,1,Device,,,6/20/2023 4:45:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
14,2,Device,,,6/23/2023 1:30:00 PM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
15,1,Device,,,6/23/2023 4:15:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
16,2,Device,,,6/23/2023 4:30:00 PM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
17,1,Device,,,6/23/2023 4:45:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
18,2,Device,,,6/23/2023 5:45:00 PM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
19,1,Device,,,6/23/2023 7:15:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
20,2,Device,,,6/23/2023 8:00:00 PM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
21,1,Device,,,6/23/2023 8:45:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
22,2,Device,,,6/26/2023 2:30:00 PM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
23,1,Device,,,6/26/2023 3:15:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
24,2,Device,,,7/4/2023 10:15:00 AM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
25,1,Device,,,7/4/2023 1:45:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
26,2,Device,,,7/6/2023 8:45:00 AM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
27,1,Device,,,7/6/2023 9:00:00 AM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
28,2,Device,,,7/6/2023 9:30:00 AM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
29,1,Device,,,7/6/2023 9:45:00 AM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
30,2,Device,,,7/10/2023 4:30:00 AM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
31,1,Device,,,7/10/2023 6:30:00 AM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
32,2,Device,,,7/17/2023 11:00:00 AM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
33,1,Device,,,7/17/2023 4:00:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
34,3,Device,,,7/21/2023 6:00:00 AM -04:00,True,False,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
35,1,Device,,,7/21/2023 6:45:00 AM -04:00,False,False,True,3,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
36,2,Device,,,7/23/2023 10:15:00 AM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
37,1,Device,,,7/23/2023 10:30:00 AM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
38,2,Device,,,7/26/2023 10:30:00 AM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
39,1,Device,,,7/26/2023 1:00:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
40,3,Device,,,7/28/2023 11:45:00 PM -04:00,True,False,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
41,1,Device,,,7/29/2023 12:30:00 AM -04:00,False,False,True,3,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
42,2,Device,,,7/31/2023 2:15:00 PM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
43,1,Device,,,7/31/2023 3:00:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
44,2,Device,,,8/7/2023 5:00:00 PM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
45,1,Device,,,8/7/2023 8:15:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
46,2,Device,,,8/9/2023 10:00:00 PM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
47,1,Device,,,8/9/2023 10:45:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
48,2,Device,,,8/11/2023 4:30:00 PM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
49,1,Device,,,8/11/2023 4:45:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
50,2,Device,,,8/11/2023 5:15:00 PM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
51,1,Device,,,8/11/2023 6:00:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
52,2,Device,,,8/11/2023 6:30:00 PM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
53,1,Device,,,8/11/2023 8:30:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
54,2,Device,,,8/11/2023 9:00:00 PM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
55,1,Device,,,8/11/2023 9:15:00 PM -04:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
56,2,Device,,,8/12/2023 12:45:00 PM -04:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4415Q24810/2023,4415Q24810,,America/New_York
