,AlertAlarmDateTime,SnapshotUrl,TimeZoneAbreviation,UtcOffsetMinutes,adjustedvalue,alertalarmtype,algorithm,description,eventdatetime,isalarm,isalert,isreset,lastvalue,maxalarmthresholdvalue,maxwarningthresholdvalue,metricName,metricNameChinese,metricid,metrickey,metricshortname,metrictype,minalarmthresholdvalue,minwarningthresholdvalue,path,serialnumber,targetvalue,timezone
0,,,,,2,Device,,,1/12/2023 7:46:14 PM -05:00,False,True,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
1,2023-01-13T00:56:00,,,0.0,2,Device,,System Alert /Alarm,Jan 13 2023 12:56AM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
2,,,,,2,Device,,,1/12/2023 8:11:14 PM -05:00,False,True,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
3,2023-01-13T02:01:00,,,0.0,2,Device,,System Alert /Alarm,Jan 13 2023  2:01AM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
4,2023-02-19T09:20:00,,,0.0,2,Device,,System Alert /Alarm,Feb 19 2023  9:20AM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
5,2023-04-17T12:22:00,,,0.0,162,Device,,SENSOR ALERT-EVAPORATOR APPROACH,Apr 17 2023 12:22PM,False,True,True,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
6,2023-04-17T12:22:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/4/17/15/15/VU139530540410_42_1681734178,,0.0,148,Device,,AUTORESTART PENDING-POWER LOSS,Apr 17 2023 12:22PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
7,2023-04-19T20:19:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/4/19/20/47/VU139530540410_42_1681935585,,0.0,163,Device,,SENSOR ALERT-CONDENSER APPROACH,Apr 19 2023  8:19PM,False,True,False,,,,,,,ALARM_03,CH_ALARM_03,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
8,2023-04-19T20:31:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu139530540410_42/2023/4/19/20/47/VU139530540410_42_1681936301,,0.0,230,Device,,PROTECTIVE LIMIT-LOW CONDENSER WATER FLOW,Apr 19 2023  8:31PM,True,False,False,,,,,,,ALARM_04,CH_ALARM_04,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
9,,,,,3,Device,,,4/19/2023 4:35:40 PM -04:00,True,False,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/4004Q69950/2023,4004Q69950,,America/New_York
