,serialnumber,metrictype,metricid,metrickey,metricshortname,metricName,metricNameChinese,timezone,description,eventdatetime,adjustedvalue,targetvalue,minwarningthresholdvalue,maxwarningthresholdvalue,minalarmthresholdvalue,maxalarmthresholdvalue,lastvalue,path,alertalarmtype,isalert,isalarm,isreset,algorithm,AlertAlarmDateTime,TimeZoneAbreviation,SnapshotUrl,UtcOffsetMinutes
0,1601Q6567,,,ALM,CH_ALARMRELAY,,,Asia/Calcutta,,11/4/2022 5:09:39 PM +05:30,1,,,,,,0.0,AlertAlarm/1601Q6567/2022,Device,False,True,False,,,,,
1,1601Q6567,,,ALM,CH_ALARMRELAY,,,Asia/Calcutta,Alarm Relay,Nov  4 2022 11:44AM,1,,,,,,,AlertAlarm/1601Q6567/2022,Device,False,False,True,,2022-11-04T11:44:00,,,0.0
2,1601Q6567,,,ALM,CH_ALARMRELAY,,,Asia/Calcutta,,11/5/2022 12:16:57 PM +05:30,1,,,,,,0.0,AlertAlarm/1601Q6567/2022,Device,False,True,False,,,,,
3,1601Q6567,,,ALM,CH_ALARMRELAY,,,Asia/Calcutta,Alarm Relay,Nov  5 2022  6:51AM,1,,,,,,,AlertAlarm/1601Q6567/2022,Device,False,False,True,,2022-11-05T06:51:00,,,0.0
4,1601Q6567,,,ALM,CH_ALARMRELAY,,,Asia/Calcutta,,11/8/2022 7:51:56 AM +05:30,1,,,,,,0.0,AlertAlarm/1601Q6567/2022,Device,False,True,False,,,,,
5,1601Q6567,,,ALM,CH_ALARMRELAY,,,Asia/Calcutta,Alarm Relay,Nov  8 2022  2:31AM,1,,,,,,,AlertAlarm/1601Q6567/2022,Device,False,False,True,,2022-11-08T02:31:00,,,0.0
6,1601Q6567,,,ALM,CH_ALARMRELAY,,,Asia/Calcutta,,11/14/2022 1:01:57 PM +05:30,1,,,,,,0.0,AlertAlarm/1601Q6567/2022,Device,False,True,False,,,,,
7,1601Q6567,,,ALM,CH_ALARMRELAY,,,Asia/Calcutta,Alarm Relay,Nov 14 2022  7:36AM,1,,,,,,,AlertAlarm/1601Q6567/2022,Device,False,False,True,,2022-11-14T07:36:00,,,0.0
8,1601Q6567,,,ALM,CH_ALARMRELAY,,,Asia/Calcutta,,11/16/2022 12:02:10 AM +05:30,1,,,,,,0.0,AlertAlarm/1601Q6567/2022,Device,False,True,False,,,,,
9,1601Q6567,,,ALM,CH_ALARMRELAY,,,Asia/Calcutta,Alarm Relay,Nov 15 2022  6:37PM,1,,,,,,,AlertAlarm/1601Q6567/2022,Device,False,False,True,,2022-11-15T18:37:00,,,0.0
