,Unnamed: 0,serialnumber,metrictype,metricid,metrickey,metricshortname,metricName,metricNameChinese,timezone,description,eventdatetime,adjustedvalue,targetvalue,minwarningthresholdvalue,maxwarningthresholdvalue,minalarmthresholdvalue,maxalarmthresholdvalue,lastvalue,path,alertalarmtype,isalert,isalarm,isreset,algorithm
340,340,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/18/2022 8:30:00 AM -04:00,165.7,0.0,100.0,165.0,0.0,170.0,138.5,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
342,342,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/18/2022 3:00:00 PM -04:00,166.4,0.0,100.0,165.0,0.0,170.0,138.0,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
344,344,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/19/2022 3:45:00 AM -04:00,165.8,0.0,100.0,165.0,0.0,170.0,138.1,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
346,346,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/19/2022 10:15:00 AM -04:00,165.8,0.0,100.0,165.0,0.0,170.0,138.5,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
348,348,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/19/2022 2:30:00 PM -04:00,166.2,0.0,100.0,165.0,0.0,170.0,138.5,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
350,350,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/20/2022 2:30:00 AM -04:00,165.8,0.0,100.0,165.0,0.0,170.0,138.2,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
352,352,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/20/2022 9:00:00 AM -04:00,165.8,0.0,100.0,165.0,0.0,170.0,138.4,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
354,354,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/21/2022 6:15:00 AM -04:00,165.7,0.0,100.0,165.0,0.0,170.0,138.2,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
356,356,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/21/2022 9:15:00 PM -04:00,165.3,0.0,100.0,165.0,0.0,170.0,137.4,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
358,358,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/22/2022 2:15:00 PM -04:00,165.6,0.0,100.0,165.0,0.0,170.0,138.2,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
360,360,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/22/2022 10:45:00 PM -04:00,165.7,0.0,100.0,165.0,0.0,170.0,138.2,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
362,362,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/23/2022 8:15:00 AM -04:00,165.7,0.0,100.0,165.0,0.0,170.0,137.9,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
364,364,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/23/2022 4:45:00 PM -04:00,166.1,0.0,100.0,165.0,0.0,170.0,137.7,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
366,366,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/23/2022 9:00:00 PM -04:00,165.6,0.0,100.0,165.0,0.0,170.0,138.0,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
368,368,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/27/2022 1:00:00 AM -04:00,165.4,0.0,100.0,165.0,0.0,170.0,138.1,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
370,370,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/27/2022 5:15:00 AM -04:00,165.7,0.0,100.0,165.0,0.0,170.0,138.1,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
372,372,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/27/2022 3:45:00 PM -04:00,165.7,0.0,100.0,165.0,0.0,170.0,137.9,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
374,374,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/28/2022 3:45:00 AM -04:00,165.4,0.0,100.0,165.0,0.0,170.0,137.2,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
376,376,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/28/2022 10:45:00 PM -04:00,166.2,0.0,100.0,165.0,0.0,170.0,137.9,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
378,378,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/29/2022 7:45:00 PM -04:00,166.8,0.0,100.0,165.0,0.0,170.0,138.1,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
380,380,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/30/2022 7:30:00 AM -04:00,166.2,0.0,100.0,165.0,0.0,170.0,138.1,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
382,382,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/30/2022 11:45:00 AM -04:00,166.2,0.0,100.0,165.0,0.0,170.0,137.9,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
384,384,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,3/30/2022 11:30:00 PM -04:00,165.4,0.0,100.0,165.0,0.0,170.0,138.0,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
386,386,4710Q20220,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,3/31/2022 5:15:00 AM -04:00,105.9,0.0,96.0,102.0,95.0,106.0,106.2,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
387,387,4710Q20220,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,3/31/2022 5:30:00 AM -04:00,106.8,0.0,96.0,102.0,95.0,106.0,105.9,AlertAlarm/4710Q20220/2022,Threshold,True,True,False,
388,388,4710Q20220,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,3/31/2022 6:15:00 AM -04:00,105.7,0.0,96.0,102.0,95.0,106.0,106.4,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
389,389,4710Q20220,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,3/31/2022 6:30:00 AM -04:00,106.3,0.0,96.0,102.0,95.0,106.0,105.7,AlertAlarm/4710Q20220/2022,Threshold,True,True,False,
390,390,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/2/2022 8:30:00 AM -04:00,165.3,0.0,100.0,165.0,0.0,170.0,138.3,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
392,392,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/2/2022 8:45:00 PM -04:00,165.8,0.0,100.0,165.0,0.0,170.0,138.7,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
394,394,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/3/2022 11:15:00 AM -04:00,165.3,0.0,100.0,165.0,0.0,170.0,138.2,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
396,396,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/3/2022 9:15:00 PM -04:00,166.0,0.0,100.0,165.0,0.0,170.0,138.5,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
398,398,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/4/2022 5:00:00 AM -04:00,165.6,0.0,100.0,165.0,0.0,170.0,138.4,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
400,400,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/4/2022 8:15:00 AM -04:00,165.3,0.0,100.0,165.0,0.0,170.0,137.9,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
402,402,4710Q20220,,,COMPRESS_MTRB,compThrustBrgTemp,,,America/New_York,Chiller Alarm,4/4/2022 9:15:00 AM -04:00,156.0,0.0,0.0,155.0,0.0,0.0,126.5,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
403,403,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/4/2022 1:30:00 PM -04:00,165.7,0.0,100.0,165.0,0.0,170.0,138.3,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
405,405,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/5/2022 4:45:00 PM -04:00,166.8,0.0,100.0,165.0,0.0,170.0,139.1,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
407,407,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/6/2022 12:00:00 AM -04:00,165.2,0.0,100.0,165.0,0.0,170.0,139.4,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
409,409,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/6/2022 6:00:00 AM -04:00,165.8,0.0,100.0,165.0,0.0,170.0,139.0,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
411,411,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/8/2022 6:00:00 PM -04:00,165.2,0.0,100.0,165.0,0.0,170.0,139.7,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
413,413,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/9/2022 4:45:00 PM -04:00,165.6,0.0,100.0,165.0,0.0,170.0,138.1,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
416,416,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/10/2022 11:30:00 AM -05:00,165.7,0.0,100.0,165.0,0.0,170.0,138.6,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
418,418,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/10/2022 2:45:00 PM -04:00,166.0,0.0,100.0,165.0,0.0,170.0,138.6,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
420,420,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/10/2022 6:00:00 PM -04:00,165.6,0.0,100.0,165.0,0.0,170.0,138.4,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
422,422,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/10/2022 8:15:00 PM -04:00,165.6,0.0,100.0,165.0,0.0,170.0,138.5,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
424,424,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/11/2022 8:30:00 AM -04:00,165.7,0.0,100.0,165.0,0.0,170.0,138.5,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
426,426,4710Q20220,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,4/14/2022 11:30:00 AM -04:00,105.9,0.0,96.0,102.0,95.0,106.0,106.1,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
427,427,4710Q20220,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,4/14/2022 12:00:00 PM -04:00,106.6,0.0,96.0,102.0,95.0,106.0,105.9,AlertAlarm/4710Q20220/2022,Threshold,True,True,False,
428,428,4710Q20220,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,4/14/2022 11:15:00 PM -04:00,105.9,0.0,96.0,102.0,95.0,106.0,106.1,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
429,429,4710Q20220,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,4/14/2022 11:30:00 PM -04:00,106.2,0.0,96.0,102.0,95.0,106.0,105.9,AlertAlarm/4710Q20220/2022,Threshold,True,True,False,
430,430,4710Q20220,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,4/15/2022 12:30:00 AM -04:00,105.9,0.0,96.0,102.0,95.0,106.0,106.6,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
431,431,4710Q20220,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,4/15/2022 12:45:00 AM -04:00,106.3,0.0,96.0,102.0,95.0,106.0,105.9,AlertAlarm/4710Q20220/2022,Threshold,True,True,False,
432,432,4710Q20220,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,4/20/2022 1:45:00 PM -04:00,104.3,0.0,96.0,102.0,95.0,106.0,104.6,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
433,433,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,4/30/2022 11:00:00 PM -04:00,165.2,0.0,100.0,165.0,0.0,170.0,138.8,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
435,435,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,5/1/2022 1:15:00 AM -04:00,165.4,0.0,100.0,165.0,0.0,170.0,139.7,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
437,437,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,5/7/2022 4:45:00 AM -04:00,165.2,0.0,100.0,165.0,0.0,170.0,138.3,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
439,439,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,5/8/2022 10:30:00 PM -04:00,165.3,0.0,100.0,165.0,0.0,170.0,138.7,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
441,441,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,5/9/2022 12:45:00 AM -04:00,165.2,0.0,100.0,165.0,0.0,170.0,138.6,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
443,443,4710Q20220,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,5/17/2022 10:15:00 PM -04:00,106.1,0.0,96.0,102.0,95.0,106.0,105.8,AlertAlarm/4710Q20220/2022,Threshold,True,True,False,
444,444,4710Q20220,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,5/17/2022 10:30:00 PM -04:00,105.4,0.0,96.0,102.0,95.0,106.0,106.1,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
445,445,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,5/24/2022 11:30:00 AM -04:00,99.7,0.0,100.0,165.0,0.0,170.0,101.3,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
447,447,4710Q20220,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,5/28/2022 11:30:00 PM -04:00,106.1,0.0,96.0,102.0,95.0,106.0,105.1,AlertAlarm/4710Q20220/2022,Threshold,True,True,False,
448,448,4710Q20220,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,5/28/2022 11:45:00 PM -04:00,104.1,0.0,96.0,102.0,95.0,106.0,106.1,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
449,449,4710Q20220,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,5/30/2022 10:30:00 AM -04:00,106.2,0.0,96.0,102.0,95.0,106.0,103.9,AlertAlarm/4710Q20220/2022,Threshold,True,True,False,
450,450,4710Q20220,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,5/30/2022 10:45:00 AM -04:00,104.8,0.0,96.0,102.0,95.0,106.0,106.2,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
451,451,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/10/2022 8:45:00 PM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
452,452,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/10/2022 9:00:00 PM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
453,453,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/11/2022 5:15:00 AM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
454,454,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/11/2022 5:30:00 AM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
455,455,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/13/2022 12:45:00 PM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
456,456,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/13/2022 1:00:00 PM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
457,457,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/13/2022 5:00:00 PM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
458,458,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/13/2022 5:15:00 PM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
459,459,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/13/2022 5:30:00 PM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
460,460,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/13/2022 6:15:00 PM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
461,461,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/13/2022 7:15:00 PM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
462,462,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/13/2022 7:30:00 PM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
463,463,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 1:30:00 AM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
464,464,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 2:15:00 AM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
465,465,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 2:30:00 AM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
466,466,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 2:45:00 AM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
467,467,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 3:15:00 AM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
468,468,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 3:30:00 AM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
469,469,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 8:00:00 AM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
470,470,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 8:15:00 AM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
471,471,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 8:30:00 AM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
472,472,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 8:45:00 AM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
473,473,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 9:45:00 AM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
474,474,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 10:15:00 AM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
475,475,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 10:30:00 AM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
476,476,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 2:00:00 PM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
477,477,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 2:15:00 PM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
478,478,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 3:15:00 PM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
479,479,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 3:30:00 PM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
480,480,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 3:45:00 PM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
481,481,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 4:00:00 PM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
482,482,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 6:45:00 PM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
483,483,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 7:00:00 PM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
484,484,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 7:30:00 PM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
485,485,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 7:45:00 PM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
486,486,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 8:30:00 PM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
487,487,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 8:45:00 PM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
488,488,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 9:15:00 PM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
489,489,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 9:30:00 PM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
490,490,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 11:00:00 PM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
491,491,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 11:15:00 PM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
492,492,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/14/2022 11:45:00 PM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
493,493,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/15/2022 12:15:00 AM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
494,494,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/15/2022 12:30:00 AM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
495,495,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/15/2022 12:45:00 AM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
496,496,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/15/2022 7:30:00 AM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
497,497,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/15/2022 7:45:00 AM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
498,498,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/15/2022 8:45:00 AM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
499,499,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/15/2022 9:15:00 AM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20220/2022,Device,False,True,False,
500,500,4710Q20220,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/15/2022 10:30:00 AM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20220/2022,Device,True,False,False,
