Month,Power/kWh,Runtime/Hrs,Avg. PLR,Chiller running COP,COP after VFD retrofit,VFD retrofit saving/kWh,VFD retrofit saving %,Avg. percent line current,chiller efficiency_after,chiller efficiency_before
2022/8,19974,149,,5.8,6.5,2074,10.4%,63%,0.541076923076923,0.6063793103448276
2022/9,68091,455,,5.9,6.5,6340,9.3%,70%,0.541076923076923,0.5961016949152542
2022/10,39926,273,,6.3,6.6,1911,4.8%,69%,0.5328787878787878,0.5582539682539682
2022/11,39525,308,,6.2,6.8,3271,8.3%,60%,0.5172058823529412,0.567258064516129
2022/12,18361,159,,6.2,6.9,1849,10.1%,54%,0.5097101449275362,0.567258064516129
2023/1,1182,11,,5.8,6.8,177,14.9%,52%,0.5172058823529412,0.6063793103448276
2023/2,57966,558,,5.5,6.7,9847,17.0%,49%,0.5249253731343283,0.6394545454545454
2023/3,63458,584,,5.7,6.7,9447,14.9%,51%,0.5249253731343283,0.6170175438596491
2023/4,72504,645,,5.9,6.8,9666,13.3%,53%,0.5172058823529412,0.5961016949152542
2023/5,80156,688,,6.0,6.7,9384,11.7%,55%,0.5249253731343283,0.5861666666666666
2023/6,53118,404,,5.7,6.2,4578,8.6%,62%,0.567258064516129,0.6170175438596491
2023/7,53368,422,,5.4,5.9,4430,8.3%,59%,0.5961016949152542,0.6512962962962963
2023/8,74917,638,,5.0,5.8,9270,12.4%,55%,0.6063793103448276,0.7034
2023/9,47925,426,,5.4,6.2,6055,12.6%,53%,0.567258064516129,0.6512962962962963
2023/10,52283,588,,5.8,8.1,15219,29.1%,42%,0.43419753086419755,0.6063793103448276
2023/11,28311,315,,6.1,8.8,8734,30.9%,42%,0.39965909090909085,0.5765573770491803
2023/12,33531,404,,5.8,8.5,10623,31.7%,39%,0.4137647058823529,0.6063793103448276
