Month,Power/kWh,Runtime/Hrs,Avg. PLR,Chiller running COP,COP after VFD retrofit,VFD retrofit saving/kWh,VFD retrofit saving %,Avg. percent line current,chiller efficiency_after,chiller efficiency_before
2022/1,24822,318,,8.8,9.4,1753,7.1%,44%,0.3741489361702127,0.39965909090909085
2022/2,24306,314,,8.4,9.3,2506,10.3%,44%,0.37817204301075263,0.41869047619047617
2022/3,30084,391,,7.4,9.2,6010,20.0%,43%,0.38228260869565217,0.47527027027027025
2022/4,41579,554,,7.1,9.0,9084,21.8%,42%,0.3907777777777778,0.49535211267605633
2022/5,46317,562,,7.0,8.9,9846,21.3%,46%,0.39516853932584267,0.5024285714285714
2022/6,42568,428,,7.2,8.8,7789,18.3%,56%,0.39965909090909085,0.4884722222222222
2022/7,43155,404,,7.6,8.2,3194,7.4%,60%,0.4289024390243903,0.4627631578947369
2022/8,50601,494,,7.9,8.3,2575,5.1%,58%,0.4237349397590361,0.4451898734177215
2022/9,37733,450,,8.4,9.0,2470,6.5%,48%,0.3907777777777778,0.41869047619047617
2022/10,29624,454,,7.4,8.7,4629,15.6%,37%,0.40425287356321843,0.47527027027027025
2022/11,34326,510,,7.3,8.8,5849,17.0%,38%,0.39965909090909085,0.48178082191780824
2022/12,34655,503,,7.8,9.0,4741,13.7%,39%,0.3907777777777778,0.4508974358974359
2023/1,1706,24,,7.0,8.8,351,20.6%,40%,0.39965909090909085,0.5024285714285714
2023/2,33662,386,,6.2,7.6,5911,17.6%,49%,0.4627631578947369,0.567258064516129
2023/3,35245,421,,5.8,9.2,13110,37.2%,47%,0.38228260869565217,0.6063793103448276
2023/4,24794,264,,5.7,9.3,9604,38.7%,53%,0.37817204301075263,0.6170175438596491
2023/5,43659,443,,6.0,8.9,14376,32.9%,56%,0.39516853932584267,0.5861666666666666
2023/6,56029,494,,6.2,8.8,16260,29.0%,64%,0.39965909090909085,0.567258064516129
2023/7,50635,432,,6.7,9.1,13466,26.6%,66%,0.3864835164835165,0.5249253731343283
2023/8,38410,325,,6.6,8.2,7497,19.5%,67%,0.4289024390243903,0.5328787878787878
2023/9,7490,78,,6.4,9.4,2403,32.1%,55%,0.3741489361702127,0.5495312499999999
2023/10,13656,164,,7.1,9.7,3637,26.6%,47%,0.3625773195876289,0.49535211267605633
2023/11,5813,82,,8.0,9.7,997,17.1%,40%,0.3625773195876289,0.439625
2023/12,2062,32,,7.9,9.5,342,16.6%,36%,0.3702105263157895,0.4451898734177215
