Month,Power/kWh,Runtime/Hrs,Avg. PLR,Chiller running COP,COP after VFD retrofit,VFD retrofit saving/kWh,VFD retrofit saving %,Avg. percent line current,chiller efficiency_after,chiller efficiency_before
2022/2,14271,55,,6.8,8.6,3115,21.8%,61%,0.40895348837209305,0.5172058823529412
2022/3,90980,395,,6.5,8.7,22906,25.2%,54%,0.40425287356321843,0.541076923076923
2022/4,106406,401,,6.7,8.6,23227,21.8%,63%,0.40895348837209305,0.5249253731343283
2022/5,153946,463,,6.8,8.2,25965,16.9%,80%,0.4289024390243903,0.5172058823529412
2022/6,177485,476,,6.8,7.9,24058,13.6%,90%,0.4451898734177215,0.5172058823529412
2022/7,70890,191,,6.8,8.0,10573,14.9%,90%,0.439625,0.5172058823529412
2022/8,178492,480,,6.8,8.1,27611,15.5%,90%,0.43419753086419755,0.5172058823529412
2022/9,119568,348,,6.9,8.2,18919,15.8%,81%,0.4289024390243903,0.5097101449275362
2022/10,107937,408,,6.6,8.6,25364,23.5%,60%,0.40895348837209305,0.5328787878787878
2022/11,89642,357,,6.7,8.4,18532,20.7%,57%,0.41869047619047617,0.5249253731343283
2022/12,71902,329,,6.6,8.8,17651,24.5%,49%,0.39965909090909085,0.5328787878787878
2023/1,3575,18,,6.4,8.9,1002,28.0%,45%,0.39516853932584267,0.5495312499999999
2023/2,96853,394,,6.7,8.7,21603,22.3%,56%,0.40425287356321843,0.5249253731343283
2023/3,102161,415,,6.6,8.7,24376,23.9%,56%,0.40425287356321843,0.5328787878787878
2023/4,113254,400,,6.8,8.3,21241,18.8%,65%,0.4237349397590361,0.5172058823529412
2023/5,142563,478,,6.9,8.1,22220,15.6%,69%,0.43419753086419755,0.5097101449275362
2023/6,163108,468,,6.9,7.8,19743,12.1%,81%,0.4508974358974359,0.5097101449275362
2023/7,191482,532,,6.8,7.8,24497,12.8%,84%,0.4508974358974359,0.5172058823529412
2023/8,177209,488,,6.8,7.8,21843,12.3%,85%,0.4508974358974359,0.5172058823529412
2023/9,73144,205,,6.7,7.7,9272,12.7%,83%,0.45675324675324674,0.5249253731343283
2023/10,91949,330,,6.6,8.2,18014,19.6%,64%,0.4289024390243903,0.5328787878787878
2023/11,84551,357,,6.6,8.6,20229,23.9%,54%,0.40895348837209305,0.5328787878787878
2023/12,58823,251,,6.6,8.5,13154,22.4%,53%,0.4137647058823529,0.5328787878787878
