Month,Power/kWh,Runtime/Hrs,Avg. PLR,Chiller running COP,COP after VFD retrofit,VFD retrofit saving/kWh,VFD retrofit saving %,Avg. percent line current,chiller efficiency_after,chiller efficiency_before
2022/9,16589,76,,6.2,9.7,5899,35.6%,55%,0.3625773195876289,0.567258064516129
2022/10,165179,711,,6.1,9.6,59558,36.1%,57%,0.36635416666666665,0.5765573770491803
2022/11,189233,714,,6.1,9.7,70326,37.2%,64%,0.3625773195876289,0.5765573770491803
2022/12,139965,521,,6.0,9.7,52648,37.6%,64%,0.3625773195876289,0.5861666666666666
2023/1,4907,24,,6.4,10.0,1779,36.3%,53%,0.3517,0.5495312499999999
2023/2,42604,172,,6.3,10.2,16020,37.6%,62%,0.3448039215686275,0.5582539682539682
2023/6,105178,306,,5.4,8.3,36817,35.0%,68%,0.4237349397590361,0.6512962962962963
2023/7,248281,727,,5.4,8.1,82635,33.3%,68%,0.43419753086419755,0.6512962962962963
2023/8,189413,567,,5.5,8.3,65202,34.4%,66%,0.4237349397590361,0.6394545454545454
2023/9,126542,415,,5.5,8.1,41174,32.5%,61%,0.43419753086419755,0.6394545454545454
2023/10,153855,590,,6.0,9.2,53060,34.5%,52%,0.38228260869565217,0.5861666666666666
2023/11,160219,597,,6.1,9.8,60104,37.5%,53%,0.35887755102040814,0.5765573770491803
2023/12,74149,263,,6.1,9.9,28134,37.9%,56%,0.3552525252525252,0.5765573770491803
