Month,Power/kWh,Runtime/Hrs,Avg. PLR,Chiller running COP,COP after VFD retrofit,VFD retrofit saving/kWh,VFD retrofit saving %,Avg. percent line current,chiller efficiency_after,chiller efficiency_before
2022/8,72533,204,,5.0,7.1,20744,28.6%,82%,0.49535211267605633,0.7034
2022/9,70701,224,,5.0,7.7,24500,34.7%,73%,0.45675324675324674,0.7034
2022/10,33930,138,,5.0,9.5,16194,47.7%,58%,0.3702105263157895,0.7034
2022/11,7419,29,,5.0,9.4,3471,46.8%,60%,0.3741489361702127,0.7034
2023/3,44438,121,,5.7,8.8,15759,35.5%,84%,0.39965909090909085,0.6170175438596491
2023/4,31936,100,,5.3,8.5,11981,37.5%,74%,0.4137647058823529,0.6635849056603773
2023/5,60004,216,,5.1,8.7,24998,41.7%,65%,0.40425287356321843,0.689607843137255
2023/7,136194,374,,5.0,6.7,35319,25.9%,84%,0.5249253731343283,0.7034
2023/8,115348,319,,5.0,6.8,29979,26.0%,83%,0.5172058823529412,0.7034
2023/9,62348,186,,5.0,7.1,18356,29.4%,77%,0.49535211267605633,0.7034
2023/10,87251,328,,5.0,8.8,37508,43.0%,62%,0.39965909090909085,0.7034
2023/11,63251,246,,4.9,8.8,28124,44.5%,60%,0.39965909090909085,0.7177551020408163
